Rk,Player,Season,School,Pos,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
42,Udoka Azubuike\udoka-azubuike-1,2017-18,Kansas,C,36,34,848,211,274,.770,211,274,.770,0,0,,45,109,.413,87,165,252,24,20,60,63,108,467,11.6
43,Daniel Amigo\daniel-amigo-1,2016-17,Denver,C,30,29,748,182,340,.535,173,324,.534,9,16,.563,91,139,.655,50,163,213,41,8,18,80,107,464,9.7
44,Luke Kornet\luke-kornet-1,2016-17,Vanderbilt,C,35,35,1101,145,357,.406,92,195,.472,53,162,.327,120,140,.857,53,164,217,43,19,71,45,81,463,10.6
45,Tim Kempton\tim-kempton-2,2014-15,Lehigh,C,30,29,866,172,345,.499,171,344,.497,1,1,1.000,114,160,.713,56,204,260,31,15,11,76,79,459,10.2
46,Marin Maric\marin-maric-1,2016-17,Northern Illinois,C,32,32,911,171,302,.566,166,280,.593,5,22,.227,112,168,.667,101,167,268,25,23,17,73,89,459,11.2
47,Daniel Amigo\daniel-amigo-1,2017-18,Denver,C,30,26,774,189,363,.521,171,319,.536,18,44,.409,63,106,.594,67,133,200,47,9,22,89,96,459,9.3
48,Damian Jones\damian-jones-1,2015-16,Vanderbilt,C,33,33,866,184,312,.590,184,309,.595,0,3,.000,90,168,.536,74,153,227,38,8,54,65,108,458,10.4
49,Dylan Osetkowski\dylan-osetkowski-1,2017-18,Texas,C,34,34,1196,161,402,.400,119,256,.465,42,146,.288,93,129,.721,78,166,244,42,35,7,76,63,457,8.8
50,Ronald Delph\ronald-delph-1,2017-18,Florida Atlantic,C,31,31,910,201,405,.496,201,403,.499,0,2,.000,53,76,.697,84,186,270,23,13,63,52,82,455,11.2
51,Matt Stainbrook\matt-stainbrook-1,2014-15,Xavier,C,37,37,987,173,282,.613,172,277,.621,1,5,.200,107,140,.764,73,184,257,89,22,24,73,93,454,11.1
52,Justin Patton\justin-patton-1,2016-17,Creighton,C,35,34,885,200,296,.676,192,281,.683,8,15,.533,45,87,.517,59,158,217,41,31,50,60,96,453,11.3
