Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
38,1972-73,BOS*,NBA,82,68,14,.829,19730,3811,8511,3811,8511,,,1616,2073,,,4802,2320,,,,1805,9238,8.20,-0.85,7.35,,,,.448,,,0.190,.434,,,0.190
39,2011-12,CHI*,NBA,66,50,16,.758,15940,2467,5462,2048,4345,419,1117,1006,1394,915,2165,3080,1527,456,388,923,1139,6359,8.18,-0.76,7.43,89.1,107.4,98.3,.490,13.2,32.6,0.184,.450,12.8,25.7,0.175
40,1994-95,SEA*,NBA,82,57,25,.695,19830,3310,6741,2819,5436,491,1305,1944,2564,1068,2337,3405,2115,917,392,1295,2067,9055,8.18,-0.27,7.91,95.5,114.8,106.3,.527,14.1,32.6,0.288,.492,16.1,31.3,0.278
41,1949-50,SYR*,NBA,64,51,13,.797,,1869,5276,1869,5276,,,1691,2396,,,,1473,,,,1833,5429,8.14,-1.70,6.48,,,,.354,,,0.321,,,,
42,1998-99,SAS*,NBA,50,37,13,.740,12075,1740,3812,1568,3291,172,521,988,1415,614,1584,2198,1101,421,351,759,1010,4640,8.06,-0.94,7.12,88.6,104.0,95.0,.479,14.6,30.4,0.259,.423,13.8,30.5,0.198
43,1966-67,BOS*,NBA,81,60,21,.741,19615,3724,8325,3724,8325,,,2216,2963,,,5703,1962,,,,2138,9664,8.05,-0.81,7.24,,,,.447,,,0.266,,,,
44,1973-74,MIL*,NBA,82,59,23,.720,19755,3726,7571,3726,7571,,,1328,1741,1133,2881,4014,2225,726,519,1694,1864,8780,8.04,-0.42,7.61,105.4,101.2,93.6,.492,16.9,31.3,0.175,.425,15.2,30.6,0.192
45,2019-20,BOS,NBA,12,10,2,.833,2880,488,1085,335,671,153,414,236,296,115,440,555,297,97,73,144,269,1365,8.00,-2.01,5.99,101.1,112.5,104.6,.520,10.6,20.3,0.218,.491,13.5,24.0,0.221
46,1994-95,UTA*,NBA,82,60,22,.732,19780,3243,6339,2942,5538,301,801,1939,2483,874,2412,3286,2256,758,392,1289,2045,8726,7.99,-0.23,7.76,92.6,114.3,105.7,.535,14.8,29.1,0.306,.496,15.5,27.5,0.292
47,1963-64,BOS*,NBA,80,59,21,.738,,3619,8770,3619,8770,,,1804,2489,,,5736,1760,,,,2125,9042,7.90,-0.97,6.93,,,,.413,,,0.206,,,,
48,2012-13,MIA*,NBA,82,66,16,.805,19880,3148,6348,2431,4539,717,1809,1423,1887,676,2490,3166,1890,710,441,1143,1533,8436,7.87,-0.84,7.03,90.7,112.3,103.7,.552,13.7,22.2,0.224,.487,14.8,27.0,0.200
49,1980-81,PHI*,NBA,82,62,20,.756,19855,3636,7073,3617,6989,19,84,1865,2427,1091,2618,3709,2369,857,591,1702,2061,9156,7.85,-0.09,7.76,103.4,107.0,99.5,.515,17.3,32.3,0.264,.454,16.3,32.9,0.252
50,2004-05,SAS*,NBA,82,59,23,.720,19805,2923,6450,2416,5055,507,1395,1535,2120,987,2489,3476,1771,613,543,1126,1717,7888,7.80,0.03,7.84,88.9,107.5,98.8,.492,13.2,29.1,0.238,.452,14.7,26.4,0.236
51,1995-96,SEA*,NBA,82,64,18,.780,19880,3074,6401,2493,4805,581,1596,1843,2424,954,2449,3403,1999,882,393,1441,1967,8572,7.79,-0.40,7.40,93.8,110.3,102.1,.526,16.2,29.7,0.288,.479,16.7,30.5,0.252
52,1979-80,BOS*,NBA,82,61,21,.744,19880,3617,7387,3455,6965,162,422,1907,2449,1227,2457,3684,2198,809,308,1539,1974,9303,7.79,-0.42,7.37,102.6,109.4,101.9,.501,15.4,34.8,0.258,.475,16.5,32.2,0.234
53,2017-18,TOR*,NBA,82,59,23,.720,19830,3383,7169,2415,4464,968,2705,1422,1790,800,2807,3607,1995,626,500,1095,1783,9156,7.78,-0.49,7.29,97.4,113.8,105.9,.539,12.1,23.0,0.198,.501,13.0,22.3,0.212
54,2002-03,DAL*,NBA,82,60,22,.732,19780,3161,6982,2525,5314,636,1668,1486,1793,912,2544,3456,1837,665,449,949,1730,8444,7.78,0.12,7.90,92.5,110.7,102.3,.498,10.9,25.4,0.213,.473,14.8,29.1,0.221
55,2000-01,SAS*,NBA,82,58,24,.707,19830,2884,6262,2439,5168,445,1094,1673,2340,902,2712,3614,1778,568,576,1145,1551,7886,7.76,0.16,7.92,89.6,106.6,98.0,.496,13.6,27.1,0.267,.444,12.9,26.3,0.182
56,1949-50,ROC*,NBA,68,51,17,.750,,1956,5247,1956,5247,,,1690,2319,,,,1383,,,,1585,5602,7.76,-0.05,7.72,,,,.373,,,0.322,,,,
57,1997-98,LAL*,NBA,82,61,21,.744,19830,3146,6536,2649,5121,497,1415,1863,2743,1079,2471,3550,2009,734,556,1256,1859,8652,7.74,-0.87,6.88,93.6,111.9,103.7,.519,14.0,31.6,0.285,.467,14.1,31.2,0.245
58,1985-86,LAL*,NBA,82,62,20,.756,19830,3834,7343,3696,6934,138,409,1812,2329,1101,2555,3656,2433,693,419,1467,2031,9618,7.74,-0.91,6.84,102.7,113.3,105.8,.532,14.9,33.1,0.247,.484,13.5,30.2,0.239
59,2013-14,SAS*,NBA,82,62,20,.756,19755,3326,6844,2628,5087,698,1757,1289,1642,762,2786,3548,2064,604,420,1180,1495,8639,7.72,0.28,8.00,95.0,110.5,102.4,.537,13.5,22.7,0.188,.482,12.8,23.6,0.184
60,1988-89,PHO*,NBA,82,55,27,.671,19755,3754,7545,3586,7064,168,481,2051,2594,1095,2619,3714,2280,693,416,1279,1933,9727,7.70,-0.86,6.84,104.5,113.1,105.7,.509,12.8,30.8,0.272,.476,13.5,32.3,0.225
61,1996-97,SEA*,NBA,82,57,25,.695,19780,2995,6415,2436,4832,559,1583,1725,2295,1010,2271,3281,1931,904,388,1231,1803,8274,7.68,-0.77,6.91,90.3,111.2,102.7,.510,14.2,30.9,0.269,.490,17.7,30.9,0.242
62,1982-83,PHI*,NBA,82,65,17,.793,19830,3600,7212,3575,7103,25,109,1966,2650,1334,2596,3930,2016,812,577,1627,2041,9191,7.67,-0.14,7.53,102.7,108.3,100.9,.501,16.3,37.1,0.273,.464,15.8,33.8,0.217
63,2008-09,LAL*,NBA,82,65,17,.793,19780,3307,6981,2760,5465,547,1516,1607,2087,1015,2587,3602,1908,718,420,1103,1698,8768,7.66,-0.55,7.11,94.3,112.8,104.7,.513,12.3,29.4,0.230,.490,14.2,27.0,0.213
64,2001-02,SAC*,NBA,82,61,21,.744,19755,3267,7003,2841,5843,426,1160,1618,2154,1013,2702,3715,1958,741,375,1128,1560,8578,7.61,0.00,7.61,95.6,109.0,101.1,.497,12.4,27.9,0.231,.467,13.6,28.3,0.185
65,1988-89,CLE*,NBA,82,57,25,.695,19755,3466,6904,3296,6430,170,474,1821,2438,1033,2475,3508,2260,791,586,1323,1592,8923,7.60,0.35,7.95,98.0,110.6,102.9,.514,14.2,31.2,0.264,.473,15.0,32.9,0.185
66,2008-09,BOS*,NBA,82,62,20,.756,19880,3075,6333,2537,4978,538,1355,1587,2075,869,2586,3455,1862,621,387,1280,1897,8275,7.51,-0.07,7.44,90.4,110.5,102.3,.528,15.0,27.9,0.251,.470,14.0,24.4,0.253
67,2009-10,ORL*,NBA,82,59,23,.720,19730,3005,6394,2164,4153,841,2241,1575,2176,810,2736,3546,1615,512,456,1155,1629,8426,7.49,-0.37,7.12,92.0,111.4,103.3,.536,13.6,24.6,0.246,.477,12.2,22.6,0.205
68,2010-11,MIA*,NBA,82,58,24,.707,19780,3031,6301,2484,4822,547,1479,1760,2288,790,2666,3456,1639,544,430,1142,1674,8369,7.46,-0.71,6.76,90.9,111.7,103.5,.524,13.5,25.2,0.279,.475,12.6,24.5,0.223
69,2007-08,DET*,NBA,82,59,23,.720,19730,2999,6551,2512,5221,487,1330,1507,1965,974,2423,3397,1831,583,472,956,1688,7992,7.39,-0.72,6.67,87.3,111.4,102.9,.495,11.4,29.4,0.230,.470,13.4,26.3,0.244
70,1948-49,MNL*,BAA,60,44,16,.733,,1885,5146,1885,5146,,,1272,1759,,,,1134,,,,1386,5042,7.38,-0.58,6.80,,,,.366,,,0.247,,,,
71,1984-85,LAL*,NBA,82,62,20,.756,19755,3952,7254,3862,6959,90,295,1702,2232,1063,2550,3613,2575,695,481,1537,1931,9696,7.35,-0.87,6.48,103.2,114.1,107.0,.551,15.7,33.8,0.235,.485,13.7,32.9,0.220
72,2010-11,CHI*,NBA,82,62,20,.756,19830,3042,6587,2531,5172,511,1415,1492,2008,967,2654,3621,1827,592,468,1161,1639,8087,7.32,-0.79,6.53,90.4,108.3,100.3,.501,13.5,29.4,0.227,.463,13.6,23.8,0.222
73,2006-07,PHO*,NBA,82,61,21,.744,19905,3388,6855,2603,4890,785,1965,1476,1827,737,2583,3320,2122,553,394,1189,1659,9037,7.30,-0.03,7.28,95.6,113.9,106.4,.551,13.4,22.7,0.215,.492,13.6,28.1,0.206
74,2015-16,OKC*,NBA,82,55,27,.671,19830,3372,7082,2694,5137,678,1945,1616,2067,1071,2916,3987,1883,603,487,1305,1691,9038,7.28,-0.19,7.09,96.7,113.1,105.6,.524,14.0,31.1,0.228,.484,11.7,24.0,0.205
75,1991-92,POR*,NBA,82,57,25,.695,19880,3476,7352,3151,6408,325,944,1858,2463,1294,2549,3843,2065,753,410,1328,1983,9135,7.27,-0.33,6.94,99.0,111.4,104.2,.495,13.6,35.6,0.253,.471,14.3,30.1,0.251
76,1980-81,MIL*,NBA,82,60,22,.732,19755,3722,7472,3692,7341,30,131,1802,2340,1261,2408,3669,2319,862,530,1581,2198,9276,7.27,-0.13,7.14,103.6,108.7,101.8,.500,15.7,36.3,0.241,.461,16.6,34.4,0.280
77,2007-08,LAL*,NBA,82,57,25,.695,19780,3248,6818,2586,5067,662,1751,1746,2270,898,2722,3620,2003,654,438,1156,1691,8904,7.26,0.09,7.34,95.6,113.0,105.5,.525,12.9,26.3,0.256,.485,12.9,26.6,0.214
78,1986-87,ATL*,NBA,82,57,25,.695,19730,3435,7141,3300,6716,135,425,2019,2661,1350,2478,3828,2077,700,511,1279,2152,9024,7.23,-0.05,7.18,97.4,112.6,105.2,.490,13.3,37.2,0.283,.460,13.9,32.6,0.284
79,2006-07,DAL*,NBA,82,67,15,.817,19755,3010,6442,2475,5038,535,1404,1646,2045,920,2515,3435,1632,560,408,1140,1837,8201,7.22,0.06,7.28,89.5,111.3,103.2,.509,13.4,28.7,0.256,.477,14.2,25.0,0.265
80,2003-04,SAS*,NBA,82,57,25,.695,19755,2842,6434,2434,5294,408,1140,1409,2069,1029,2669,3698,1676,661,537,1203,1667,7501,7.22,0.29,7.51,89.2,102.2,94.1,.473,14.1,29.5,0.219,.433,14.8,25.4,0.215
