Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
816,1986-87,PHI*,NBA,82,45,37,.549,19880,3335,6792,3247,6452,88,340,1971,2617,1178,2327,3505,1943,768,540,1519,1774,8729,-0.20,0.31,0.11,97.3,108.3,108.5,.497,16.1,34.9,0.290,.499,14.5,34.3,0.215
817,2000-01,IND*,NBA,82,41,41,.500,19980,2828,6431,2432,5272,396,1159,1539,2009,921,2595,3516,1763,563,487,1244,1926,7591,-0.20,-0.57,-0.77,89.4,102.0,102.2,.471,14.5,27.0,0.239,.452,12.8,28.6,0.235
818,1968-69,SDR*,NBA,82,37,45,.451,19780,3691,8631,3691,8631,,,2074,3039,,,5026,1925,,,,2110,9456,-0.20,-0.11,-0.30,,,,.428,,,0.240,,,,
819,2001-02,MIL,NBA,82,41,41,.500,19905,3041,6577,2448,4994,593,1583,1321,1767,841,2557,3398,1847,596,388,1157,1788,7996,-0.22,-0.40,-0.62,90.2,106.9,107.1,.507,13.6,25.6,0.201,.477,12.0,29.1,0.217
820,2013-14,CHA*,NBA,82,43,39,.524,19905,2976,6730,2460,5259,516,1471,1474,2000,776,2724,3500,1778,499,421,1010,1493,7942,-0.22,-0.67,-0.89,92.4,103.6,103.8,.481,11.7,21.9,0.219,.491,12.6,22.4,0.183
821,1993-94,CHH,NBA,82,41,41,.500,19830,3382,7100,3046,6184,336,916,1632,2135,1019,2475,3494,2214,724,394,1266,1747,8732,-0.22,-0.01,-0.23,97.5,108.4,108.6,.500,13.6,29.2,0.230,.492,13.2,33.0,0.205
822,2012-13,BOS*,NBA,81,41,40,.506,19840,3001,6459,2503,5069,498,1390,1318,1698,654,2533,3187,1843,667,365,1181,1717,7818,-0.22,-0.40,-0.62,91.7,103.1,103.3,.503,14.1,20.1,0.204,.482,14.2,26.7,0.216
823,1994-95,LAL*,NBA,82,48,34,.585,19905,3284,7088,2759,5596,525,1492,1523,2072,1126,2316,3442,2078,750,563,1243,1933,8616,-0.22,0.21,-0.01,95.2,109.1,109.4,.500,13.4,31.3,0.215,.500,14.8,35.6,0.224
824,2016-17,IND*,NBA,82,42,40,.512,19855,3221,6931,2512,5046,709,1885,1467,1811,742,2702,3444,1844,669,409,1130,1597,8618,-0.22,-0.42,-0.64,95.9,108.6,108.8,.516,12.8,21.2,0.212,.512,13.6,24.5,0.225
825,1990-91,NYK*,NBA,82,39,43,.476,19955,3308,6822,3123,6264,185,558,1654,2147,1053,2436,3489,2172,638,418,1379,1764,8455,-0.23,-0.20,-0.43,95.0,107.1,107.3,.498,15.1,31.1,0.242,.489,13.4,31.5,0.205
826,2018-19,MIA,NBA,82,39,43,.476,19730,3251,7218,2323,4560,928,2658,1238,1782,921,2879,3800,1991,627,448,1208,1712,8668,-0.23,-0.22,-0.45,98.2,107.3,107.6,.515,13.1,24.8,0.172,.510,12.7,22.4,0.201
827,1970-71,SDR,NBA,82,40,42,.488,19730,3547,8426,3547,8426,,,2188,2921,,,4686,1921,,,,2128,9282,-0.24,0.45,0.21,,,,.421,,,0.260,.449,,,0.250
828,2011-12,PHO,NBA,66,33,33,.500,15840,2495,5445,2051,4150,444,1295,1058,1397,717,2035,2752,1486,431,366,928,1233,6492,-0.24,0.53,0.29,92.6,106.2,106.5,.499,13.3,25.8,0.194,.491,13.1,28.3,0.200
829,1992-93,CHH*,NBA,82,44,38,.537,19755,3512,7210,3337,6673,175,537,1831,2374,1095,2508,3603,2161,639,473,1325,1790,9030,-0.24,0.22,-0.02,100.2,109.5,109.7,.499,13.8,31.3,0.254,.487,12.6,35.0,0.201
830,2018-19,DET*,NBA,82,41,41,.500,19855,3185,7238,2192,4384,993,2854,1415,1893,936,2752,3688,1845,569,331,1135,1811,8778,-0.24,-0.31,-0.56,97.4,109.0,109.2,.509,12.3,24.8,0.195,.526,12.8,21.3,0.211
831,1966-67,CIN*,NBA,81,39,42,.481,19515,3654,8137,3654,8137,,,2179,2806,,,5198,1858,,,,2073,9487,-0.26,0.03,-0.23,,,,.449,,,0.268,,,,
832,1950-51,BOS*,NBA,69,39,30,.565,,2065,5607,2065,5607,,,1751,2415,,,3499,1579,,,,1881,5881,-0.26,-0.15,-0.41,,,,.368,,,0.312,,,,
833,1954-55,PHW,NBA,72,33,39,.458,,2392,6234,2392,6234,,,1928,2625,,,4238,1744,,,,1716,6712,-0.26,0.08,-0.19,,,,.384,,,0.309,,,,
834,1984-85,WSB*,NBA,82,40,42,.488,19855,3534,7383,3425,6985,109,398,1478,1989,1012,2395,3407,2088,709,393,1282,1869,8655,-0.27,0.42,0.15,100.3,104.3,104.6,.486,13.4,27.5,0.200,.491,15.3,31.8,0.226
835,1983-84,SAS,NBA,82,37,45,.451,19980,3909,7721,3830,7458,79,263,1965,2604,1230,2528,3758,2361,685,491,1447,2146,9862,-0.27,-0.23,-0.50,106.5,111.2,111.4,.511,14.0,33.4,0.255,.508,13.7,33.8,0.233
836,2008-09,CHI*,NBA,82,41,41,.500,19930,3126,6846,2633,5553,493,1293,1633,2052,970,2481,3451,1732,615,453,1192,1709,8378,-0.28,0.12,-0.16,93.1,108.4,108.7,.493,13.3,28.0,0.239,.493,13.1,29.1,0.238
837,1975-76,SEA*,NBA,82,43,39,.524,19780,3542,7730,3542,7730,,,1642,2309,1217,2498,3715,1935,866,355,1615,2133,8726,-0.28,0.14,-0.15,107.7,98.3,98.6,.458,15.6,31.0,0.212,.467,17.9,33.2,0.238
838,1974-75,KCO*,NBA,82,44,38,.537,19730,3257,7258,3257,7258,,,1797,2190,991,2745,3736,1853,724,347,1542,1968,8311,-0.29,0.14,-0.16,104.4,96.8,97.1,.449,15.8,26.1,0.248,.461,16.3,27.9,0.205
839,2015-16,DAL*,NBA,82,42,40,.512,20005,3064,6900,2258,4558,806,2342,1454,1831,751,2781,3532,1813,560,306,1047,1595,8388,-0.30,0.29,-0.02,94.3,106.7,107.0,.502,12.0,20.6,0.211,.504,12.8,23.8,0.198
840,1988-89,GSW*,NBA,82,43,39,.524,19905,3730,7977,3536,7348,194,629,1904,2384,1323,2561,3884,2009,831,643,1488,1946,9558,-0.30,-0.29,-0.59,107.3,107.4,107.7,.480,14.2,33.4,0.239,.479,14.6,35.9,0.240
841,2017-18,MIL*,NBA,82,44,38,.537,19830,3257,6807,2539,4783,718,2024,1499,1915,688,2579,3267,1905,722,443,1134,1752,8731,-0.30,-0.15,-0.45,96.2,109.8,110.1,.531,12.9,20.4,0.220,.528,14.2,24.1,0.220
842,1989-90,CLE*,NBA,82,42,40,.512,19880,3214,6977,2868,6126,346,851,1637,2201,1128,2380,3508,2106,645,512,1243,1666,8411,-0.30,-0.31,-0.62,95.0,106.9,107.2,.485,13.5,31.5,0.235,.490,14.0,32.3,0.202
843,2007-08,WAS*,NBA,82,43,39,.524,19905,2986,6695,2411,5081,575,1614,1557,1991,1007,2404,3411,1607,632,391,1082,1606,8104,-0.33,-0.28,-0.61,89.5,109.2,109.6,.489,12.5,28.9,0.233,.513,13.5,27.2,0.217
844,2004-05,WAS*,NBA,82,45,37,.549,19780,2966,6794,2452,5296,514,1498,1795,2476,1133,2374,3507,1563,716,347,1172,1807,8241,-0.33,-0.38,-0.71,93.3,107.2,107.5,.474,12.9,31.1,0.264,.498,14.6,30.0,0.230
845,2006-07,GSW*,NBA,82,42,40,.512,19755,3261,7048,2561,5081,700,1967,1515,2113,940,2456,3396,1950,750,466,1309,1933,8737,-0.34,0.34,0.00,99.2,107.0,107.4,.512,14.1,25.6,0.215,.506,16.1,30.4,0.264
846,1996-97,ORL*,NBA,82,45,37,.549,19855,2839,6497,2272,4835,567,1662,1474,1975,1071,2221,3292,1689,694,363,1250,1643,7719,-0.35,0.28,-0.07,88.3,105.6,106.0,.481,14.5,30.9,0.227,.495,15.3,32.7,0.211
847,2007-08,CLE*,NBA,82,45,37,.549,19855,2937,6697,2385,5153,552,1544,1477,2061,1092,2563,3655,1640,579,427,1145,1712,7903,-0.35,-0.17,-0.53,90.2,106.0,106.4,.480,13.1,30.4,0.221,.494,12.9,24.1,0.240
848,1974-75,CLE,NBA,82,40,42,.488,19880,3408,7371,3408,7371,,,1301,1753,1058,2502,3560,1903,600,348,1462,1881,8117,-0.37,0.05,-0.31,100.4,97.6,98.0,.462,15.2,28.2,0.177,.451,16.5,33.0,0.224
849,1985-86,UTA*,NBA,82,42,40,.512,19780,3453,7083,3418,6914,35,169,1930,2694,1068,2479,3547,2199,717,666,1518,2038,8871,-0.37,-0.30,-0.67,103.3,104.2,104.6,.490,15.5,29.8,0.272,.477,15.4,32.8,0.258
850,2009-10,HOU,NBA,82,42,40,.512,19905,3094,6923,2448,5085,646,1838,1561,2022,971,2471,3442,1790,583,318,1188,1712,8395,-0.37,0.35,-0.02,94.0,107.6,108.0,.494,13.2,26.9,0.225,.511,13.6,26.2,0.215
851,1979-80,SAS*,NBA,82,41,41,.500,19755,3856,7738,3804,7532,52,206,2024,2528,1153,2515,3668,2326,771,333,1589,2103,9788,-0.38,0.13,-0.24,109.5,108.6,109.0,.502,15.2,31.8,0.262,.506,14.4,33.2,0.216
852,1990-91,IND*,NBA,82,41,41,.500,19805,3450,6994,3201,6245,249,749,2010,2479,1018,2376,3394,2181,658,357,1355,2088,9159,-0.39,0.02,-0.37,99.4,111.7,112.1,.511,14.4,30.6,0.287,.503,13.1,33.6,0.254
853,2002-03,BOS*,NBA,82,44,38,.537,19830,2700,6509,1981,4354,719,2155,1480,1994,849,2471,3320,1575,720,303,1147,1758,7599,-0.39,-0.36,-0.75,90.9,101.2,101.6,.470,13.4,23.6,0.227,.471,15.1,27.5,0.242
854,1967-68,BAL,NBA,82,36,46,.439,19755,3691,8428,3691,8428,,,2245,2994,,,5431,1534,,,,2127,9627,-0.39,0.16,-0.23,,,,.438,,,0.266,,,,
855,1982-83,DET,NBA,82,37,45,.451,19880,3623,7602,3551,7330,72,272,1921,2588,1312,2477,3789,2108,679,572,1557,2122,9239,-0.40,0.24,-0.17,105.8,105.4,105.8,.481,15.1,33.6,0.253,.496,15.4,33.8,0.214
856,1982-83,DAL,NBA,82,38,44,.463,19730,3674,7550,3631,7365,43,185,1852,2462,1296,2381,3677,2227,552,348,1348,2067,9243,-0.41,-0.29,-0.70,102.8,109.4,109.8,.489,13.5,34.8,0.245,.506,14.0,33.8,0.228
857,1998-99,SAC*,NBA,50,27,23,.540,12200,1918,4307,1628,3364,290,943,883,1293,706,1573,2279,1129,444,232,842,1016,5009,-0.42,-0.47,-0.89,96.0,102.7,103.1,.479,14.7,30.6,0.205,.471,13.7,32.3,0.176
858,1955-56,NYK*,NBA,72,35,37,.486,,2508,6395,2508,6395,,,2196,2913,,,4562,1610,,,,1923,7212,-0.42,0.22,-0.20,,,,.392,,,0.343,,,,
859,2001-02,TOR*,NBA,82,42,40,.512,19755,2919,6727,2532,5618,387,1109,1269,1717,1114,2336,3450,1779,688,454,1174,1771,7494,-0.44,-0.27,-0.71,88.8,102.6,103.1,.463,13.6,31.4,0.189,.471,14.7,29.9,0.237
860,2001-02,LAC,NBA,82,39,43,.476,19805,2970,6668,2562,5521,408,1147,1498,2026,1083,2474,3557,1714,510,540,1214,1624,7846,-0.46,0.38,-0.09,90.1,105.5,106.0,.476,13.8,31.3,0.225,.477,12.1,30.1,0.194
861,2006-07,LAC,NBA,82,40,42,.488,19730,2880,6318,2566,5415,314,903,1769,2245,888,2484,3372,1762,596,472,1239,1858,7843,-0.46,0.39,-0.07,90.8,105.1,105.6,.481,14.5,27.2,0.280,.488,13.3,25.3,0.249
862,2013-14,ATL*,NBA,82,38,44,.463,19830,3061,6688,2293,4572,768,2116,1392,1782,713,2565,3278,2041,680,326,1251,1577,8282,-0.48,-0.40,-0.88,94.6,105.9,106.4,.515,14.3,21.0,0.208,.510,14.0,25.6,0.196
863,1980-81,DEN,NBA,82,37,45,.451,19955,3784,7960,3754,7815,30,145,2388,3051,1325,2497,3822,2030,720,380,1444,2108,9986,-0.48,-0.47,-0.95,109.8,109.4,109.8,.477,13.4,33.1,0.300,.509,14.6,34.6,0.232
864,2008-09,DET*,NBA,82,39,43,.476,19905,2981,6559,2604,5480,377,1079,1388,1849,949,2448,3397,1689,493,377,973,1712,7727,-0.49,0.13,-0.36,86.7,107.4,108.0,.483,11.7,27.9,0.212,.485,11.7,26.0,0.248
865,1987-88,NYK*,NBA,82,38,44,.463,19805,3363,7232,3184,6665,179,567,1750,2306,1286,2194,3480,2012,789,445,1518,2361,8655,-0.49,0.63,0.14,99.1,105.9,106.4,.477,15.5,36.0,0.242,.486,17.0,34.5,0.324
866,2015-16,WAS,NBA,82,41,41,.500,19755,3238,7033,2529,5050,709,1983,1349,1849,743,2688,3431,2005,708,323,1186,1708,8534,-0.50,0.00,-0.50,98.5,105.3,105.8,.511,13.1,20.6,0.192,.515,14.6,22.3,0.218
867,2006-07,WAS*,NBA,82,41,41,.500,19830,3070,6820,2509,5206,561,1614,1855,2425,998,2379,3377,1660,635,375,1133,1823,8556,-0.51,-0.28,-0.80,94.1,110.1,110.6,.491,12.6,28.1,0.272,.517,14.4,29.0,0.249
868,2016-17,POR*,NBA,82,41,41,.500,19930,3243,7059,2391,4787,852,2272,1513,1940,830,2750,3580,1733,574,408,1126,1736,8851,-0.52,0.30,-0.23,96.7,110.3,110.8,.520,12.5,23.0,0.214,.508,11.6,23.2,0.241
869,1977-78,NYK*,NBA,82,43,39,.524,20005,3815,7822,3815,7822,,,1670,2225,1180,2689,3869,2338,818,442,1764,2193,9300,-0.55,0.02,-0.53,109.7,101.7,102.2,.488,16.7,31.0,0.214,.472,15.8,31.8,0.262
870,1965-66,STL*,NBA,80,36,44,.450,19200,3379,7836,3379,7836,,,2155,2870,,,5167,1782,,,,2179,8913,-0.56,0.06,-0.50,,,,.431,,,0.275,,,,
871,1995-96,CHH,NBA,82,41,41,.500,19880,3108,6618,2524,5098,584,1520,1631,2119,987,2256,3243,1907,582,277,1241,1815,8431,-0.57,0.09,-0.48,91.6,111.2,111.8,.514,14.1,29.5,0.246,.529,13.9,29.7,0.217
872,1999-00,DAL,NBA,82,40,42,.488,19730,3195,7047,2676,5721,519,1326,1407,1751,931,2444,3375,1810,592,416,1124,1770,8316,-0.57,0.29,-0.29,94.9,106.6,107.2,.490,12.6,25.5,0.200,.488,14.2,33.9,0.210
873,1977-78,MIL*,NBA,82,44,38,.537,19980,3801,7883,3801,7883,,,1612,2220,1239,2480,3719,2306,867,472,1680,2038,9214,-0.59,-0.01,-0.59,108.7,101.8,102.4,.482,15.9,32.1,0.204,.481,16.9,33.2,0.237
874,1949-50,TRI*,NBA,64,29,35,.453,,1818,5515,1818,5515,,,1677,2308,,,,1330,,,,2057,5313,-0.59,-0.84,-1.43,,,,.330,,,0.304,,,,
875,1967-68,SFW*,NBA,82,43,39,.524,19805,3632,8587,3632,8587,,,2334,3153,,,6029,1901,,,,2265,9598,-0.60,-0.07,-0.66,,,,.423,,,0.272,,,,
876,2012-13,DAL,NBA,82,41,41,.500,19980,3182,6892,2576,5264,606,1628,1323,1669,767,2670,3437,1906,648,454,1144,1698,8293,-0.60,0.36,-0.24,94.1,105.9,106.5,.506,13.0,21.8,0.192,.492,13.3,26.9,0.227
877,2011-12,POR,NBA,66,28,38,.424,15965,2402,5417,1924,4035,478,1382,1133,1423,735,1949,2684,1349,528,322,935,1251,6415,-0.62,0.41,-0.22,91.2,105.7,106.4,.488,13.4,26.3,0.209,.504,14.1,27.2,0.199
878,2003-04,SEA,NBA,82,37,45,.451,19805,2939,6590,2216,4654,723,1936,1363,1782,907,2318,3225,1782,661,387,1188,1784,7964,-0.63,0.66,0.02,89.9,107.3,108.0,.501,13.9,27.2,0.207,.487,13.9,31.5,0.237
879,1986-87,IND*,NBA,82,41,41,.500,19930,3454,7324,3360,7008,94,316,1696,2170,1132,2464,3596,2170,697,311,1276,2097,8698,-0.65,0.47,-0.17,98.8,106.0,106.6,.478,13.4,30.5,0.232,.487,14.9,31.2,0.281
880,2001-02,PHO,NBA,82,36,46,.439,19830,3097,6934,2739,5838,358,1096,1250,1630,1072,2430,3502,1838,668,401,1205,1785,7802,-0.68,0.39,-0.30,91.4,103.3,104.0,.472,13.6,30.1,0.180,.476,14.4,29.8,0.227
881,1979-80,IND,NBA,82,37,45,.451,19855,3639,7689,3551,7375,88,314,1753,2333,1398,2326,3724,2148,900,530,1517,1973,9119,-0.70,0.16,-0.54,104.4,105.5,106.2,.479,14.8,35.4,0.228,.493,17.0,37.5,0.230
882,2003-04,GSW,NBA,82,37,45,.451,19855,2875,6511,2446,5228,429,1283,1470,2028,1002,2533,3535,1681,576,389,1211,1691,7649,-0.73,0.66,-0.07,89.8,103.0,103.8,.475,14.1,28.4,0.226,.476,13.3,27.9,0.211
883,1970-71,DET,NBA,82,45,37,.549,19855,3468,7730,3468,7730,,,2093,2808,,,3923,1696,,,,1969,9029,-0.74,0.41,-0.33,,,,.449,,,0.271,.457,,,0.264
884,2004-05,PHI*,NBA,82,43,39,.524,19855,2946,6736,2441,5283,505,1453,1731,2194,909,2536,3445,1710,756,321,1274,1878,8128,-0.74,-0.33,-1.07,94.9,103.5,104.3,.475,14.2,25.4,0.257,.485,15.4,27.3,0.267
885,1997-98,HOU*,NBA,82,41,41,.500,19830,2946,6513,2373,4843,573,1670,1634,2120,987,2350,3337,1799,686,294,1298,1653,8099,-0.76,-0.47,-1.23,91.0,107.7,108.6,.496,14.8,29.8,0.251,.499,13.3,30.7,0.208
886,1999-00,BOS,NBA,82,35,47,.427,19730,3054,6880,2637,5620,417,1260,1621,2175,1108,2420,3528,1741,795,286,1259,2223,8146,-0.76,-0.24,-1.00,94.6,104.8,105.6,.474,13.8,30.4,0.236,.498,15.8,26.2,0.306
887,1987-88,WSB*,NBA,82,38,44,.463,19880,3355,7164,3326,7026,29,138,1914,2476,1229,2297,3526,1875,698,502,1384,1922,8653,-0.77,0.61,-0.16,98.1,106.5,107.2,.470,14.4,34.2,0.267,.487,14.4,34.8,0.231
888,2004-05,LAC,NBA,82,37,45,.451,20030,2924,6368,2693,5699,231,669,1770,2274,980,2455,3435,1901,599,422,1290,1819,7849,-0.77,0.30,-0.47,89.1,105.5,106.4,.477,14.9,30.3,0.278,.480,13.0,28.7,0.235
889,2006-07,NJN*,NBA,82,41,41,.500,19880,2913,6379,2304,4703,609,1676,1566,2153,822,2525,3347,1962,499,273,1212,1869,8001,-0.77,-0.23,-1.00,91.4,105.7,106.6,.504,14.2,24.6,0.245,.490,13.7,25.6,0.266
890,1989-90,MIL*,NBA,82,44,38,.537,19830,3380,7146,3171,6476,209,670,1722,2273,1108,2246,3354,2046,826,326,1315,2086,8691,-0.78,-0.28,-1.06,98.0,107.3,108.1,.488,13.9,31.5,0.241,.492,15.8,34.0,0.290
891,2013-14,NYK,NBA,82,37,45,.451,19855,3027,6739,2268,4701,759,2038,1271,1670,870,2437,3307,1641,631,367,1063,1815,8084,-0.79,-0.61,-1.40,90.3,108.3,109.1,.505,12.5,25.1,0.189,.514,14.0,25.7,0.245
892,1987-88,IND,NBA,82,38,44,.463,19705,3436,7154,3273,6669,163,485,1546,1982,1078,2457,3535,1977,619,345,1318,2038,8581,-0.79,0.62,-0.18,98.0,106.6,107.4,.492,14.1,30.1,0.216,.481,13.5,32.1,0.263
893,1975-76,HOU,NBA,82,40,42,.488,19755,3546,7304,3546,7304,,,1616,2046,1059,2644,3703,2213,656,359,1665,2045,8708,-0.80,0.09,-0.71,104.7,101.1,101.8,.485,16.9,30.0,0.221,.477,15.2,29.7,0.208
894,1956-57,MNL*,NBA,72,34,38,.472,,2584,6965,2584,6965,,,2195,2899,,,4581,1195,,,,1887,7363,-0.81,-0.08,-0.89,,,,.371,,,0.315,,,,
895,1979-80,POR*,NBA,82,38,44,.463,19780,3408,7167,3382,7035,26,132,1560,2100,1295,2408,3703,1898,708,472,1552,1956,8402,-0.82,-0.05,-0.87,98.6,103.4,104.3,.477,16.1,35.5,0.218,.482,15.3,32.1,0.245
896,2010-11,ATL*,NBA,82,44,38,.537,19730,2971,6429,2469,5002,502,1427,1346,1728,762,2460,3222,1802,497,341,1118,1554,7790,-0.82,-0.28,-1.10,89.3,106.1,107.0,.501,13.5,23.4,0.209,.495,12.3,25.4,0.211
897,1967-68,CIN,NBA,82,39,43,.476,19805,3679,7864,3679,7864,,,2204,2892,,,5129,2048,,,,2016,9562,-0.84,0.20,-0.64,,,,.468,,,0.280,,,,
898,2010-11,MIL,NBA,82,35,47,.427,19830,2814,6544,2331,5130,483,1414,1423,1881,862,2480,3342,1545,617,399,1103,1682,7534,-0.84,-0.17,-1.02,89.8,101.6,102.5,.467,13.0,24.7,0.217,.481,14.7,25.2,0.236
899,1984-85,CHI*,NBA,82,38,44,.463,19805,3453,6909,3424,6748,29,161,1981,2526,1074,2366,3440,1992,622,468,1463,2071,8916,-0.84,0.34,-0.50,99.4,108.7,109.6,.502,15.4,32.2,0.287,.495,13.8,32.5,0.257
900,2016-17,ATL*,NBA,82,43,39,.524,19880,3123,6918,2394,4781,729,2137,1484,2039,842,2793,3635,1938,672,397,1294,1491,8459,-0.85,-0.38,-1.23,97.4,104.9,105.7,.504,14.2,23.6,0.215,.507,13.8,23.9,0.179
901,1992-93,ATL*,NBA,82,43,39,.524,19830,3392,7272,3010,6196,382,1076,1648,2221,1290,2344,3634,2084,806,278,1339,1807,8814,-0.87,0.20,-0.67,97.6,109.3,110.2,.493,14.0,34.8,0.227,.516,14.6,31.5,0.224
902,1999-00,HOU,NBA,82,34,48,.415,19830,3001,6664,2420,5039,581,1625,1573,2145,1008,2586,3594,1774,613,438,1425,1663,8156,-0.87,0.30,-0.57,94.2,104.8,105.7,.494,15.8,29.1,0.236,.481,12.5,28.4,0.201
903,1986-87,DEN*,NBA,82,37,45,.451,19780,3744,7951,3638,7560,106,391,1975,2568,1294,2368,3662,2317,754,421,1216,2184,9569,-0.87,-0.28,-1.14,106.2,109.3,110.2,.478,11.8,32.2,0.248,.503,15.4,33.0,0.307
904,2010-11,PHO,NBA,82,40,42,.488,20005,3219,6844,2518,4987,701,1857,1472,1939,821,2478,3299,1945,545,357,1169,1666,8611,-0.89,0.43,-0.46,94.4,109.5,110.4,.522,13.2,23.7,0.215,.513,13.1,28.4,0.211
905,1955-56,MNL*,NBA,72,33,39,.458,,2541,6543,2541,6543,,,2066,2627,,,4133,1689,,,,1978,7148,-0.89,-0.03,-0.92,,,,.388,,,0.316,,,,
906,1977-78,CHI,NBA,82,40,42,.488,19755,3330,7041,3330,7041,,,1863,2471,1248,2577,3825,2119,665,322,1667,1930,8523,-0.89,0.10,-0.79,101.5,102.0,102.9,.473,17.0,34.5,0.265,.490,15.4,29.2,0.202
907,1975-76,NOJ,NBA,82,38,44,.463,19880,3352,7491,3352,7491,,,1831,2415,1189,2779,3968,1765,750,343,1659,2175,8535,-0.89,0.15,-0.74,106.7,96.6,97.4,.447,16.2,29.5,0.244,.458,17.1,29.8,0.245
908,2014-15,PHO,NBA,82,39,43,.476,19880,3178,7038,2480,4990,698,2048,1343,1767,896,2643,3539,1659,700,385,1238,1744,8397,-0.90,0.52,-0.38,96.3,105.3,106.2,.501,13.7,24.5,0.191,.497,14.0,26.5,0.221
909,2006-07,MIA*,NBA,82,44,38,.537,19855,2919,6288,2391,4749,528,1539,1393,2019,817,2526,3343,1681,566,442,1201,1749,7759,-0.91,-0.29,-1.21,89.9,104.3,105.3,.506,14.3,24.9,0.222,.485,13.8,26.7,0.232
910,1981-82,DET,NBA,82,39,43,.476,19830,3561,7391,3509,7178,52,213,1938,2581,1298,2345,3643,2027,741,564,1629,2160,9112,-0.91,0.28,-0.63,104.3,105.8,106.6,.485,16.0,34.8,0.262,.512,16.4,33.1,0.224
911,1949-50,WSC*,NBA,68,32,36,.471,,1813,5493,1813,5493,,,1575,2111,,,,1057,,,,1837,5201,-0.94,0.66,-0.28,,,,.330,,,0.287,,,,
912,1982-83,ATL*,NBA,82,43,39,.524,19780,3352,7146,3307,6958,45,188,1586,2111,1139,2433,3572,1945,573,665,1424,2022,8335,-0.95,0.23,-0.72,98.9,102.2,103.2,.472,15.0,30.7,0.222,.473,15.2,34.9,0.223
913,1946-47,CLR*,BAA,60,30,30,.500,,1674,5699,1674,5699,,,903,1428,,,,494,,,,1246,4251,-0.95,0.08,-0.86,,,,.294,,,0.158,,,,
914,2007-08,POR,NBA,82,41,41,.500,19905,2935,6546,2397,5120,538,1426,1412,1841,901,2438,3339,1733,455,360,1056,1642,7820,-0.98,0.45,-0.52,87.9,107.3,108.4,.489,12.6,26.8,0.216,.491,12.1,28.2,0.212
915,1992-93,GSW,NBA,82,34,48,.415,19905,3474,7212,3176,6360,298,852,1768,2465,1219,2384,3603,2010,693,383,1451,2056,9014,-0.99,0.05,-0.94,99.5,109.2,110.2,.502,14.9,34.2,0.245,.501,14.0,33.0,0.261
916,1994-95,SAC,NBA,82,39,43,.476,19855,3025,6463,2666,5426,359,1037,1647,2317,1073,2325,3398,1824,650,457,1449,2040,8056,-1.00,0.26,-0.74,92.3,105.5,106.5,.496,16.2,32.1,0.255,.481,15.0,33.0,0.280
917,2013-14,BRK*,NBA,82,44,38,.537,19880,2931,6391,2222,4469,709,1922,1508,2002,721,2407,3128,1714,705,311,1191,1777,8079,-1.00,-0.58,-1.58,91.4,106.7,107.7,.514,14.1,21.7,0.236,.509,14.9,27.7,0.236
918,2014-15,DET,NBA,82,32,50,.390,19830,3041,7038,2338,4995,703,2043,1292,1838,1051,2630,3681,1771,623,383,1099,1559,8077,-1.00,-0.39,-1.39,92.8,105.3,106.4,.482,12.3,27.7,0.184,.502,13.2,25.0,0.192
919,2002-03,WAS,NBA,82,37,45,.451,19830,2816,6394,2563,5583,253,811,1617,2077,917,2395,3312,1612,621,390,1095,1644,7502,-1.01,-0.46,-1.47,88.2,103.0,104.1,.460,13.0,27.3,0.253,.477,13.8,28.4,0.212
920,1968-69,CIN,NBA,82,41,41,.500,19805,3565,7742,3565,7742,,,2262,3012,,,4525,1983,,,,2031,9392,-1.02,0.20,-0.83,,,,.460,,,0.292,,,,
921,2005-06,MIL*,NBA,82,40,42,.488,19855,2976,6566,2469,5231,507,1335,1561,2115,929,2448,3377,1769,597,270,1197,1902,8020,-1.04,-0.04,-1.07,91.2,106.3,107.4,.492,13.8,27.3,0.238,.504,13.8,25.4,0.262
922,1999-00,NJN,NBA,82,31,51,.378,19830,2979,6881,2502,5507,477,1374,1601,2041,1040,2315,3355,1688,720,393,1119,1913,8036,-1.04,-0.15,-1.18,92.5,105.1,106.3,.468,12.6,28.1,0.233,.491,15.2,32.8,0.223
923,1976-77,DET*,NBA,82,44,38,.537,19730,3764,7792,3764,7792,,,1442,1960,1169,2495,3664,2004,877,459,1718,2200,8970,-1.04,0.04,-1.00,108.8,100.3,101.3,.483,16.6,30.7,0.185,.472,17.4,34.5,0.256
924,1975-76,DET*,NBA,82,36,46,.439,19780,3524,7598,3524,7598,,,1557,2049,1205,2545,3750,1751,786,332,1619,2086,8605,-1.05,-0.13,-1.18,105.2,99.2,100.2,.464,16.0,30.9,0.205,.467,16.5,32.4,0.228
925,2005-06,ORL,NBA,82,36,46,.439,19905,2911,6167,2612,5371,299,796,1663,2277,892,2402,3294,1495,532,362,1240,1908,7784,-1.07,-0.18,-1.26,88.3,106.3,107.5,.496,14.7,28.5,0.270,.490,13.0,27.5,0.264
