Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
15,2019-20,UTA,NBA,25,14,11,.560,6000,953,2091,652,1306,301,785,461,596,207,923,1130,535,151,103,411,536,2668,0.28,0.85,1.13,100.4,106.3,106.0,.528,14.9,19.3,0.220,.504,11.8,19.9,0.186
16,2019-20,ORL,NBA,24,11,13,.458,5760,902,2098,662,1369,240,729,411,527,253,836,1089,535,199,162,333,441,2455,-0.38,0.36,-0.02,97.8,104.6,104.9,.487,12.5,22.7,0.196,.513,13.2,20.8,0.164
17,2019-20,BRK,NBA,24,13,11,.542,5810,981,2170,671,1276,310,894,426,575,267,871,1138,582,167,119,378,521,2698,-0.50,-1.66,-2.16,102.0,109.3,109.8,.524,13.5,24.6,0.196,.508,11.7,23.5,0.198
18,2019-20,POR,NBA,25,10,15,.400,6025,1032,2295,725,1453,307,842,449,549,256,913,1169,503,151,155,337,584,2820,-1.48,0.22,-1.26,102.3,109.8,111.3,.517,11.7,21.7,0.196,.504,11.5,23.9,0.241
19,2019-20,CHI,NBA,26,9,17,.346,6265,1000,2318,677,1395,323,923,448,594,266,861,1127,605,249,105,405,598,2771,-1.73,-1.35,-3.08,101.5,104.6,106.3,.501,13.6,21.7,0.193,.519,16.0,24.9,0.246
20,2019-20,SAC,NBA,24,11,13,.458,5810,939,2096,644,1259,295,837,352,451,240,761,1001,536,193,110,367,519,2525,-3.04,0.79,-2.25,97.3,107.2,110.3,.518,13.8,22.8,0.168,.542,14.4,22.2,0.204
21,2019-20,MIN,NBA,24,10,14,.417,5860,979,2199,671,1275,308,924,485,634,266,854,1120,557,192,150,370,526,2751,-3.21,-0.01,-3.22,103.0,109.4,112.5,.515,13.0,23.7,0.221,.529,12.3,23.8,0.207
22,2019-20,SAS,NBA,23,9,14,.391,5595,971,2090,759,1489,212,601,414,531,245,814,1059,565,151,130,317,439,2568,-3.78,-0.14,-3.92,100.7,109.4,113.1,.515,12.0,22.9,0.198,.536,11.5,21.4,0.193
23,2019-20,WAS,NBA,23,7,16,.304,5520,1015,2153,722,1359,293,794,384,473,229,729,958,649,167,88,324,511,2707,-4.43,1.03,-3.41,104.2,112.9,117.2,.539,12.1,21.6,0.178,.566,13.5,24.7,0.228
24,2019-20,CHO,NBA,27,11,16,.407,6505,1037,2339,680,1376,357,963,432,577,291,846,1137,644,177,117,413,530,2863,-6.67,-0.73,-7.40,98.2,107.6,114.4,.520,13.7,23.4,0.185,.556,13.6,25.7,0.163
