Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
850,1954-55,NYK*,NBA,72,38,34,.528,,2392,6149,2392,6149,,,1887,2593,,,4379,1744,,,,1587,6671
851,2005-06,PHI,NBA,82,38,44,.463,19905,3001,6546,2626,5515,375,1031,1770,2330,873,2425,3298,1653,651,404,1159,1712,8147
852,2014-15,UTA,NBA,82,38,44,.463,19705,2900,6492,2290,4711,610,1781,1391,1929,988,2617,3605,1632,623,489,1256,1583,7801
853,1965-66,BAL*,NBA,80,38,42,.475,19250,3599,8210,3599,8210,,,2267,3186,,,5542,1890,,,,2199,9465
854,1971-72,BAL*,NBA,82,38,44,.463,19780,3490,7748,3490,7748,,,1804,2378,,,4159,1816,,,,1858,8784
855,1991-92,MIA*,NBA,82,38,44,.463,19830,3256,7061,2999,6310,257,751,1839,2329,1187,2366,3553,1749,670,373,1377,1819,8608
856,1987-88,WSB*,NBA,82,38,44,.463,19880,3355,7164,3326,7026,29,138,1914,2476,1229,2297,3526,1875,698,502,1384,1922,8653
857,1946-47,STB*,BAA,61,38,23,.623,,1601,5877,1601,5877,,,862,1400,,,,292,,,,1234,4064
858,1978-79,GSW,NBA,82,38,44,.463,19780,3627,7453,3627,7453,,,1367,1872,1169,2513,3682,2064,774,420,1500,2023,8621
859,1987-88,IND,NBA,82,38,44,.463,19705,3436,7154,3273,6669,163,485,1546,1982,1078,2457,3535,1977,619,345,1318,2038,8581
860,1982-83,DAL,NBA,82,38,44,.463,19730,3674,7550,3631,7365,43,185,1852,2462,1296,2381,3677,2227,552,348,1348,2067,9243
861,1983-84,KCK*,NBA,82,38,44,.463,19755,3516,7230,3464,7041,52,189,1939,2495,1144,2273,3417,2229,715,383,1504,2200,9023
862,1988-89,DAL,NBA,82,38,44,.463,19780,3244,6917,3033,6236,211,681,1785,2263,1048,2397,3445,1867,579,476,1233,1739,8484
863,1975-76,MIL*,NBA,82,38,44,.463,19830,3456,7435,3456,7435,,,1437,1952,1094,2688,3782,1817,715,468,1624,2041,8349
864,2002-03,GSW,NBA,82,38,44,.463,19755,3061,6941,2636,5706,425,1235,1853,2382,1284,2546,3830,1712,594,506,1295,1786,8400
865,2014-15,IND,NBA,82,38,44,.463,19855,2998,6824,2386,5084,612,1740,1373,1817,856,2822,3678,1757,505,375,1147,1742,7981
866,1970-71,SEA,NBA,82,38,44,.463,19730,3664,8034,3664,8034,,,2101,2790,,,4456,2049,,,,1917,9429
867,1979-80,POR*,NBA,82,38,44,.463,19780,3408,7167,3382,7035,26,132,1560,2100,1295,2408,3703,1898,708,472,1552,1956,8402
868,2005-06,NOK,NBA,82,38,44,.463,19805,2831,6428,2531,5543,300,885,1649,2176,918,2379,3297,1519,611,311,1095,1786,7611
869,2012-13,MIL*,NBA,82,38,44,.463,19830,3128,7197,2527,5527,601,1670,1251,1700,1068,2537,3605,1876,685,550,1156,1554,8108
870,1983-84,DEN*,NBA,82,38,44,.463,19805,3935,7983,3858,7728,77,255,2200,2690,1133,2444,3577,2482,711,352,1344,2279,10147
871,1948-49,CHS*,BAA,60,38,22,.633,,1905,5750,1905,5750,,,1228,1775,,,,1220,,,,1731,5038
872,1991-92,ATL,NBA,82,38,44,.463,19905,3492,7476,3282,6805,210,671,1517,2074,1288,2498,3786,2123,793,320,1255,1771,8711
873,1972-73,PHO,NBA,82,38,44,.463,19755,3612,7942,3612,7942,,,1931,2437,,,4003,1944,,,,2012,9155
874,1975-76,NYK,NBA,82,38,44,.463,19805,3443,7555,3443,7555,,,1532,1985,1022,2723,3745,1660,575,259,1403,2006,8418
875,2011-12,DEN*,NBA,66,38,28,.576,16040,2572,5404,2137,4093,435,1311,1293,1760,738,2105,2843,1581,540,330,1015,1297,6872
876,2013-14,ATL*,NBA,82,38,44,.463,19830,3061,6688,2293,4572,768,2116,1392,1782,713,2565,3278,2041,680,326,1251,1577,8282
877,1978-79,IND,NBA,82,38,44,.463,19705,3575,7525,3575,7525,,,1759,2317,1225,2530,3755,2005,687,416,1536,2093,8909
878,1987-88,NYK*,NBA,82,38,44,.463,19805,3363,7232,3184,6665,179,567,1750,2306,1286,2194,3480,2012,789,445,1518,2361,8655
879,1956-57,SYR*,NBA,72,38,34,.528,,2550,6915,2550,6915,,,2075,2613,,,4350,1282,,,,1809,7175
880,1974-75,MIL,NBA,82,38,44,.463,19805,3450,7367,3450,7367,,,1354,1746,1021,2766,3787,1932,596,400,1540,1949,8254
881,1960-61,SYR*,NBA,79,38,41,.481,,3654,8746,3654,8746,,,2278,2948,,,5726,1786,,,,2280,9586
882,1977-78,DET,NBA,82,38,44,.463,19855,3552,7424,3552,7424,,,1832,2490,1229,2601,3830,1840,866,330,1858,1980,8936
883,1978-79,MIL,NBA,82,38,44,.463,19880,3906,7773,3906,7773,,,1541,2021,1157,2370,3527,2562,862,435,1574,2106,9353
884,1984-85,CHI*,NBA,82,38,44,.463,19805,3453,6909,3424,6748,29,161,1981,2526,1074,2366,3440,1992,622,468,1463,2071,8916
885,1975-76,NOJ,NBA,82,38,44,.463,19880,3352,7491,3352,7491,,,1831,2415,1189,2779,3968,1765,750,343,1659,2175,8535
886,1949-50,AND*,NBA,64,37,27,.578,,1943,6254,1943,6254,,,1703,2343,,,,1240,,,,1806,5589
