Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
70,1969-70,NYK*,NBA,82,60,22,.732,19730,3803,7975,3803,7975,,,1821,2484,,,4006,2135,,,,2016,9427
71,2002-03,SAS*,NBA,82,60,22,.732,19830,2908,6297,2459,5027,449,1270,1591,2194,939,2556,3495,1636,629,529,1295,1672,7856
72,1974-75,WSB*,NBA,82,60,22,.732,19805,3555,7697,3555,7697,,,1475,1962,1133,2764,3897,2005,929,409,1594,1961,8585
73,1995-96,ORL*,NBA,82,60,22,.732,19855,3203,6640,2581,4995,622,1645,1543,2232,966,2401,3367,2080,663,406,1160,1709,8571
74,1972-73,MIL*,NBA,82,60,22,.732,19755,3759,7808,3759,7808,,,1271,1687,,,4245,2226,,,,1763,8789
75,1979-80,LAL*,NBA,82,60,22,.732,19880,3898,7368,3878,7268,20,100,1622,2092,1085,2653,3738,2413,774,546,1639,1784,9438
76,1966-67,BOS*,NBA,81,60,21,.741,19615,3724,8325,3724,8325,,,2216,2963,,,5703,1962,,,,2138,9664
77,1980-81,MIL*,NBA,82,60,22,.732,19755,3722,7472,3692,7341,30,131,1802,2340,1261,2408,3669,2319,862,530,1581,2198,9276
78,1979-80,PHI*,NBA,82,59,23,.720,19855,3523,7156,3496,7031,27,125,1876,2431,1187,2635,3822,2226,792,652,1708,1860,8949
79,1995-96,SAS*,NBA,82,59,23,.720,19780,3148,6602,2630,5282,518,1320,1663,2261,937,2586,3523,2044,645,536,1195,1820,8477
80,2013-14,OKC*,NBA,82,59,23,.720,19805,3194,6782,2530,4943,664,1839,1653,2052,887,2781,3668,1794,678,501,1256,1858,8705
81,2008-09,ORL*,NBA,82,59,23,.720,19730,2929,6416,2112,4269,817,2147,1611,2253,819,2728,3547,1593,570,439,1142,1664,8286
82,1959-60,BOS*,NBA,75,59,16,.787,,3744,8971,3744,8971,,,1849,2519,,,6014,1849,,,,1856,9337
83,1973-74,MIL*,NBA,82,59,23,.720,19755,3726,7571,3726,7571,,,1328,1741,1133,2881,4014,2225,726,519,1694,1864,8780
84,1963-64,BOS*,NBA,80,59,21,.738,,3619,8770,3619,8770,,,1804,2489,,,5736,1760,,,,2125,9042
85,2017-18,TOR*,NBA,82,59,23,.720,19830,3383,7169,2415,4464,968,2705,1422,1790,800,2807,3607,1995,626,500,1095,1783,9156
86,1984-85,MIL*,NBA,82,59,23,.720,19805,3564,7256,3475,6962,89,294,1873,2473,1256,2353,3609,2164,689,486,1382,2239,9090
87,1989-90,DET*,NBA,82,59,23,.720,19805,3333,6980,3156,6439,177,541,1713,2252,1185,2458,3643,1996,512,418,1233,1961,8556
88,2002-03,SAC*,NBA,82,59,23,.720,19830,3242,6990,2751,5702,491,1288,1367,1832,900,2751,3651,2034,736,457,1192,1666,8342
89,1986-87,BOS*,NBA,82,59,23,.720,19805,3645,7051,3438,6486,207,565,1740,2153,933,2585,3518,2421,561,526,1300,1710,9237
90,1989-90,POR*,NBA,82,59,23,.720,19880,3572,7547,3382,6982,190,565,2031,2734,1355,2552,3907,2085,749,364,1356,2048,9365
91,2007-08,DET*,NBA,82,59,23,.720,19730,2999,6551,2512,5221,487,1330,1507,1965,974,2423,3397,1831,583,472,956,1688,7992
92,1999-00,POR*,NBA,82,59,23,.720,19780,3021,6430,2614,5302,407,1128,1542,2029,966,2560,3526,1925,633,396,1243,1865,7991
93,2004-05,SAS*,NBA,82,59,23,.720,19805,2923,6450,2416,5055,507,1395,1535,2120,987,2489,3476,1771,613,543,1126,1717,7888
94,1975-76,GSW*,NBA,82,59,23,.720,19830,3691,7982,3691,7982,,,1620,2158,1349,2912,4261,2041,928,416,1613,2022,9002
95,2004-05,MIA*,NBA,82,59,23,.720,19980,3097,6368,2622,5108,475,1260,1658,2466,887,2639,3526,1790,528,474,1127,1814,8327
96,2009-10,ORL*,NBA,82,59,23,.720,19730,3005,6394,2164,4153,841,2241,1575,2176,810,2736,3546,1615,512,456,1155,1629,8426
97,1994-95,PHO*,NBA,82,59,23,.720,19830,3356,6967,2772,5383,584,1584,1777,2352,1027,2403,3430,2198,687,312,1167,1839,9073
98,1990-91,LAL*,NBA,82,58,24,.707,19830,3343,6911,3117,6167,226,744,1805,2261,1078,2440,3518,2091,642,384,1203,1524,8717
99,2004-05,DAL*,NBA,82,58,24,.707,19730,3058,6691,2595,5418,463,1273,1826,2314,990,2530,3520,1610,708,461,1102,1827,8405
100,1981-82,PHI*,NBA,82,58,24,.707,19855,3616,6974,3575,6835,41,139,1846,2471,1031,2389,3420,2264,856,622,1474,2183,9119
101,1993-94,HOU*,NBA,82,58,24,.707,19780,3197,6733,2768,5448,429,1285,1469,1978,926,2619,3545,2087,717,485,1338,1646,8292
102,2001-02,SAS*,NBA,82,58,24,.707,19855,2913,6363,2475,5152,438,1211,1668,2249,907,2566,3473,1643,625,537,1180,1575,7932
103,1997-98,IND*,NBA,82,58,24,.707,19830,2921,6223,2520,5194,401,1029,1631,2136,874,2348,3222,1889,645,368,1168,1859,7874
104,1982-83,LAL*,NBA,82,58,24,.707,19730,3964,7512,3954,7416,10,96,1495,2031,1235,2433,3668,2519,844,479,1584,1931,9433
105,2017-18,GSW*,NBA,82,58,24,.707,19730,3509,6981,2583,4611,926,2370,1360,1668,691,2877,3568,2402,656,612,1267,1607,9304
106,1977-78,POR*,NBA,82,58,24,.707,19730,3556,7367,3556,7367,,,1717,2259,1187,2686,3873,2067,798,390,1625,2068,8829
107,2001-02,LAL*,NBA,82,58,24,.707,19780,3150,6840,2640,5401,510,1439,1494,2138,1022,2607,3629,1882,625,478,1040,1823,8304
108,1984-85,PHI*,NBA,82,58,24,.707,19805,3443,6992,3384,6768,59,224,2316,2883,1301,2364,3665,1999,817,534,1575,1971,9261
109,2000-01,SAS*,NBA,82,58,24,.707,19830,2884,6262,2439,5168,445,1094,1673,2340,902,2712,3614,1778,568,576,1145,1551,7886
110,2003-04,MIN*,NBA,82,58,24,.707,19755,3033,6571,2707,5674,326,897,1361,1743,875,2645,3520,1890,561,462,1043,1731,7753
111,2006-07,SAS*,NBA,82,58,24,.707,19780,2999,6328,2404,4767,595,1561,1486,1980,761,2577,3338,1814,587,417,1137,1588,8079
112,2012-13,SAS*,NBA,82,58,24,.707,19880,3210,6675,2547,4911,663,1764,1365,1725,666,2721,3387,2058,695,446,1206,1427,8448
113,2010-11,MIA*,NBA,82,58,24,.707,19780,3031,6301,2484,4822,547,1479,1760,2288,790,2666,3456,1639,544,430,1142,1674,8369
114,1962-63,BOS*,NBA,80,58,22,.725,,3746,8779,3746,8779,,,2012,2777,,,5818,1960,,,,2090,9504
115,2018-19,TOR*,NBA,82,58,24,.707,19880,3460,7305,2445,4534,1015,2771,1449,1803,786,2920,3706,2085,680,437,1150,1724,9384
116,1985-86,MIL*,NBA,82,57,25,.695,19805,3601,7310,3476,6928,125,382,2063,2701,1189,2420,3609,2158,805,460,1369,2210,9390
117,2018-19,GSW*,NBA,82,57,25,.695,19805,3612,7361,2525,4537,1087,2824,1339,1672,797,2990,3787,2413,625,525,1169,1757,9650
118,2010-11,DAL*,NBA,82,57,25,.695,19705,3069,6463,2424,4695,645,1768,1437,1850,780,2618,3398,1954,557,352,1145,1575,8220
119,1987-88,BOS*,NBA,82,57,25,.695,19780,3599,6905,3328,6200,271,705,1846,2300,930,2440,3370,2448,620,415,1304,1804,9315
120,2010-11,LAL*,NBA,82,57,25,.695,19830,3128,6757,2604,5270,524,1487,1541,1979,989,2616,3605,1801,602,422,1073,1555,8321
121,1986-87,ATL*,NBA,82,57,25,.695,19730,3435,7141,3300,6716,135,425,2019,2661,1350,2478,3828,2077,700,511,1279,2152,9024
122,2003-04,SAS*,NBA,82,57,25,.695,19755,2842,6434,2434,5294,408,1140,1409,2069,1029,2669,3698,1676,661,537,1203,1667,7501
123,1972-73,NYK*,NBA,82,57,25,.695,19730,3627,7764,3627,7764,,,1356,1739,,,3882,2187,,,,1775,8610
124,1991-92,CLE*,NBA,82,57,25,.695,19805,3427,7025,3174,6317,253,708,1819,2259,1041,2450,3491,2260,616,621,1073,1556,8926
125,1994-95,ORL*,NBA,82,57,25,.695,19930,3460,6899,2937,5487,523,1412,1648,2465,1149,2457,3606,2281,672,488,1297,1726,9091
126,2012-13,DEN*,NBA,82,57,25,.695,19905,3339,6983,2818,5465,521,1518,1505,2148,1092,2601,3693,2002,762,533,1253,1682,8704
127,1996-97,NYK*,NBA,82,57,25,.695,19855,2882,6227,2412,4933,470,1294,1585,2119,973,2516,3489,1809,629,378,1462,2033,7819
128,2015-16,CLE*,NBA,82,57,25,.695,19855,3171,6888,2291,4460,880,2428,1333,1783,873,2777,3650,1861,551,317,1114,1666,8555
129,1971-72,CHI*,NBA,82,57,25,.695,19780,3539,7853,3539,7853,,,2039,2700,,,4371,2087,,,,1964,9117
130,1988-89,LAL*,NBA,82,57,25,.695,19805,3584,7143,3357,6476,227,667,2011,2508,1094,2612,3706,2282,724,421,1344,1672,9406
131,1992-93,CHI*,NBA,82,57,25,.695,19830,3475,7205,3231,6536,244,669,1431,1952,1290,2283,3573,2133,783,410,1103,1804,8625
132,2001-02,DAL*,NBA,82,57,25,.695,19880,3200,6930,2579,5285,621,1645,1608,1994,918,2568,3486,1811,581,392,992,1842,8629
133,2007-08,LAL*,NBA,82,57,25,.695,19780,3248,6818,2586,5067,662,1751,1746,2270,898,2722,3620,2003,654,438,1156,1691,8904
134,2009-10,LAL*,NBA,82,57,25,.695,19830,3144,6875,2612,5313,532,1562,1519,1985,973,2662,3635,1730,612,400,1096,1592,8339
135,1991-92,POR*,NBA,82,57,25,.695,19880,3476,7352,3151,6408,325,944,1858,2463,1294,2549,3843,2065,753,410,1328,1983,9135
136,1994-95,SEA*,NBA,82,57,25,.695,19830,3310,6741,2819,5436,491,1305,1944,2564,1068,2337,3405,2115,917,392,1295,2067,9055
137,1996-97,SEA*,NBA,82,57,25,.695,19780,2995,6415,2436,4832,559,1583,1725,2295,1010,2271,3281,1931,904,388,1231,1803,8274
138,1996-97,HOU*,NBA,82,57,25,.695,19855,3037,6484,2366,4645,671,1839,1503,1992,927,2565,3492,2013,685,347,1365,1610,8248
139,1993-94,ATL*,NBA,82,57,25,.695,19755,3247,7039,2979,6209,268,830,1556,2070,1250,2423,3673,2056,915,449,1252,1625,8318
140,1968-69,BAL*,NBA,82,57,25,.695,19755,3770,8567,3770,8567,,,2002,2734,,,4963,1682,,,,2038,9542
141,1988-89,CLE*,NBA,82,57,25,.695,19755,3466,6904,3296,6430,170,474,1821,2438,1033,2475,3508,2260,791,586,1323,1592,8923
142,2013-14,LAC*,NBA,82,57,25,.695,19755,3208,6761,2515,4795,693,1966,1741,2384,858,2668,3526,2016,703,397,1136,1767,8850
143,1980-81,PHO*,NBA,82,57,25,.695,19755,3587,7326,3552,7165,35,161,1810,2430,1234,2490,3724,2205,876,416,1733,1996,9019
144,1993-94,NYK*,NBA,82,57,25,.695,19755,3098,6735,2782,5827,316,908,1564,2097,1175,2542,3717,2067,752,385,1360,2001,8076
145,1960-61,BOS*,NBA,79,57,22,.722,,3699,9295,3699,9295,,,2062,2804,,,6131,1872,,,,2032,9460
146,1981-82,LAL*,NBA,82,57,25,.695,19855,3919,7585,3906,7491,13,94,1549,2161,1258,2505,3763,2356,848,517,1468,1999,9400
147,1971-72,BOS*,NBA,82,56,26,.683,19730,3819,8431,3819,8431,,,1839,2367,,,4462,2230,,,,2030,9477
148,1973-74,BOS*,NBA,82,56,26,.683,19780,3630,7969,3630,7969,,,1677,2097,1378,3074,4452,2187,561,305,1796,1868,8937
149,1996-97,LAL*,NBA,82,56,26,.683,19930,3018,6642,2467,5142,551,1500,1613,2330,1092,2414,3506,1845,740,575,1222,1818,8200
150,2000-01,LAL*,NBA,82,56,26,.683,19905,3109,6685,2670,5410,439,1275,1594,2333,1085,2583,3668,1888,564,490,1184,1872,8251
151,1979-80,SEA*,NBA,82,56,26,.683,19830,3554,7565,3495,7376,59,189,1730,2253,1380,2550,3930,2043,750,428,1496,1865,8897
152,1989-90,SAS*,NBA,82,56,26,.683,19730,3388,6997,3334,6771,54,226,1888,2535,1163,2474,3637,2037,799,554,1399,1854,8718
153,1997-98,SAS*,NBA,82,56,26,.683,19830,2898,6187,2596,5324,302,863,1489,2164,984,2638,3622,1839,516,568,1318,1731,7587
154,1996-97,ATL*,NBA,82,56,26,.683,19805,2812,6307,2153,4473,659,1834,1491,1955,1021,2350,3371,1557,701,427,1228,1591,7774
155,2012-13,LAC*,NBA,82,56,26,.683,19730,3160,6608,2533,4856,627,1752,1342,1888,938,2475,3413,1958,784,461,1197,1716,8289
156,2014-15,LAC*,NBA,82,56,26,.683,19730,3228,6830,2401,4628,827,2202,1468,2067,784,2711,3495,2031,640,409,1012,1749,8751
157,2007-08,SAS*,NBA,82,56,26,.683,19730,2938,6424,2344,4814,594,1610,1350,1774,771,2612,3383,1718,521,337,1035,1537,7820
158,1993-94,PHO*,NBA,82,56,26,.683,19705,3429,7080,3085,6038,344,1042,1674,2301,1220,2453,3673,2261,745,460,1305,1639,8876
159,1997-98,PHO*,NBA,82,56,26,.683,19955,3138,6710,2707,5499,431,1211,1459,1948,991,2452,3443,2124,756,429,1236,1765,8166
160,1999-00,IND*,NBA,82,56,26,.683,19730,3047,6640,2464,5153,583,1487,1629,2008,842,2612,3454,1857,559,422,1159,1786,8306
161,1969-70,MIL*,NBA,82,56,26,.683,19780,3923,8041,3923,8041,,,1895,2589,,,4419,2168,,,,1971,9741
162,2015-16,TOR*,NBA,82,56,26,.683,19780,3006,6669,2298,4754,708,1915,1702,2190,836,2724,3560,1536,636,449,1073,1610,8422
163,2013-14,IND*,NBA,82,56,26,.683,19780,2949,6573,2399,5031,550,1542,1485,1907,834,2831,3665,1651,550,446,1237,1675,7933
164,1982-83,BOS*,NBA,82,56,26,.683,19830,3711,7547,3672,7361,39,186,1730,2348,1273,2532,3805,2216,789,521,1541,2062,9191
165,2003-04,LAL*,NBA,82,56,26,.683,19855,3028,6676,2663,5561,365,1115,1631,2352,1001,2535,3536,1948,682,379,1132,1732,8052
166,2007-08,NOH*,NBA,82,56,26,.683,19805,3164,6796,2534,5175,630,1621,1312,1707,937,2494,3431,1785,637,321,974,1531,8270
167,1967-68,STL*,NBA,82,56,26,.683,19880,3504,7765,3504,7765,,,2258,3111,,,5325,1988,,,,2046,9266
168,1990-91,BOS*,NBA,82,56,26,.683,19805,3695,7214,3586,6868,109,346,1646,1997,1088,2697,3785,2160,672,565,1320,1695,9145
169,2000-01,PHI*,NBA,82,56,26,.683,19855,2902,6487,2640,5684,262,803,1697,2277,1075,2600,3675,1692,690,408,1292,1673,7763
170,2010-11,BOS*,NBA,82,56,26,.683,19780,3023,6219,2615,5100,408,1119,1459,1895,639,2542,3181,1921,676,344,1195,1678,7913
171,2012-13,MEM*,NBA,82,56,26,.683,19805,2964,6679,2582,5572,382,1107,1349,1746,1059,2445,3504,1715,703,436,1144,1660,7659
172,2014-15,HOU*,NBA,82,56,26,.683,19805,3032,6832,2099,4152,933,2680,1525,2133,958,2624,3582,1820,777,407,1366,1803,8522
173,1989-90,CHI*,NBA,82,55,27,.671,19830,3531,7090,3281,6421,250,669,1665,2140,1075,2279,3354,2172,814,388,1247,1906,8977
174,1993-94,CHI*,NBA,82,55,27,.671,19780,3245,6815,3012,6156,233,659,1310,1859,1143,2391,3534,2102,740,354,1306,1750,8033
175,2003-04,SAC*,NBA,82,55,27,.671,19780,3103,6711,2502,5213,601,1498,1626,2044,888,2492,3380,2152,710,325,1137,1586,8433
176,1977-78,PHI*,NBA,82,55,27,.671,19830,3628,7471,3628,7471,,,2153,2863,1299,2694,3993,2220,800,548,1752,2188,9409
177,1993-94,SAS*,NBA,82,55,27,.671,19780,3178,6688,2929,5974,249,714,1597,2151,1189,2597,3786,1896,561,450,1198,1662,8202
178,2017-18,BOS*,NBA,82,55,27,.671,19805,3141,6975,2202,4483,939,2492,1308,1697,767,2878,3645,1842,604,373,1149,1618,8529
179,2015-16,OKC*,NBA,82,55,27,.671,19830,3372,7082,2694,5137,678,1945,1616,2067,1071,2916,3987,1883,603,487,1305,1691,9038
180,2007-08,HOU*,NBA,82,55,27,.671,19730,3003,6698,2420,4991,583,1707,1342,1848,1002,2659,3661,1757,598,420,1125,1609,7931
181,1979-80,PHO*,NBA,82,55,27,.671,19755,3570,7235,3502,6955,68,280,1906,2466,1071,2458,3529,2283,908,344,1629,1853,9114
182,1997-98,MIA*,NBA,82,55,27,.671,19755,2850,6327,2302,4783,548,1544,1539,2082,1028,2419,3447,1758,665,429,1226,1982,7787
183,1963-64,CIN*,NBA,80,55,25,.688,,3516,7761,3516,7761,,,2146,2828,,,5400,1916,,,,2139,9178
184,1994-95,NYK*,NBA,82,55,27,.671,19780,2985,6394,2453,4948,532,1446,1552,2114,929,2473,3402,2055,591,387,1305,2102,8054
185,1968-69,LAL*,NBA,82,55,27,.671,19905,3574,7620,3574,7620,,,2056,3161,,,4749,2068,,,,1773,9204
186,2007-08,PHO*,NBA,82,55,27,.671,19780,3392,6782,2698,5018,694,1764,1548,1977,720,2683,3403,2188,532,518,1184,1633,9026
187,1986-87,DAL*,NBA,82,55,27,.671,19880,3594,7373,3363,6720,231,653,2148,2717,1219,2494,3713,2017,688,424,1205,1873,9567
188,1965-66,PHI*,NBA,80,55,25,.688,19250,3650,8189,3650,8189,,,2087,3141,,,5652,1905,,,,2094,9387
189,1981-82,MIL*,NBA,82,55,27,.671,19805,3544,7015,3495,6851,49,164,1753,2329,1167,2415,3582,2233,763,455,1589,2281,8890
190,1968-69,PHI*,NBA,82,55,27,.671,19805,3754,8274,3754,8274,,,2238,3087,,,4513,1914,,,,2145,9746
191,2000-01,SAC*,NBA,82,55,27,.671,20080,3132,6969,2653,5616,479,1353,1600,2075,987,2705,3692,1852,793,432,1221,1596,8343
192,1989-90,UTA*,NBA,82,55,27,.671,19830,3330,6593,3104,5963,226,630,1874,2484,953,2501,3454,2212,677,491,1410,2031,8760
193,2009-10,DAL*,NBA,82,55,27,.671,19880,3140,6760,2582,5262,558,1498,1526,1870,834,2586,3420,1917,624,449,1059,1563,8364
194,1991-92,UTA*,NBA,82,55,27,.671,19880,3379,6866,3221,6408,158,458,1961,2490,1097,2543,3640,2188,715,448,1264,1746,8877
195,1995-96,UTA*,NBA,82,55,27,.671,19780,3129,6417,2752,5404,377,1013,1769,2302,993,2373,3366,2139,667,418,1215,2046,8404
196,1999-00,UTA*,NBA,82,55,27,.671,19755,2962,6380,2633,5526,329,854,1661,2150,936,2426,3362,2041,629,446,1220,2013,7914
197,1992-93,SEA*,NBA,82,55,27,.671,19780,3473,7140,3255,6530,218,610,1720,2259,1222,2254,3476,1906,944,409,1267,1971,8884
198,1992-93,HOU*,NBA,82,55,27,.671,19780,3280,6744,2893,5671,387,1073,1584,2090,985,2532,3517,2115,682,543,1295,1699,8531
199,1990-91,SAS*,NBA,82,55,27,.671,19830,3409,6988,3328,6691,81,297,1883,2459,1131,2657,3788,2140,670,571,1445,1896,8782
200,2010-11,OKC*,NBA,82,55,27,.671,20005,3066,6609,2579,5206,487,1403,1977,2401,903,2604,3507,1672,654,487,1156,1836,8596
201,2014-15,MEM*,NBA,82,55,27,.671,19905,3097,6763,2674,5517,423,1246,1445,1869,856,2634,3490,1777,700,347,1094,1567,8062
202,2016-17,HOU*,NBA,82,55,27,.671,19780,3305,7152,2124,3846,1181,3306,1667,2177,892,2746,3638,2070,670,352,1240,1634,9458
203,2014-15,SAS*,NBA,82,55,27,.671,19955,3208,6854,2531,5007,677,1847,1368,1754,806,2772,3578,2000,657,444,1146,1564,8461
204,1988-89,PHO*,NBA,82,55,27,.671,19755,3754,7545,3586,7064,168,481,2051,2594,1095,2619,3714,2280,693,416,1279,1933,9727
205,1990-91,PHO*,NBA,82,55,27,.671,19730,3573,7199,3435,6767,138,432,2064,2680,1132,2598,3730,2209,687,535,1302,1850,9348
206,1991-92,GSW*,NBA,82,55,27,.671,19880,3767,7427,3513,6664,254,763,1944,2606,1137,2376,3513,2064,854,375,1353,2049,9732
207,1975-76,BOS*,NBA,82,54,28,.659,19755,3527,7901,3527,7901,,,1654,2120,1369,2972,4341,1980,561,260,1609,2002,8708
208,1996-97,DET*,NBA,82,54,28,.659,19830,2827,6095,2245,4596,582,1499,1487,1995,858,2292,3150,1554,632,283,1041,1652,7723
209,1990-91,UTA*,NBA,82,54,28,.659,19780,3214,6537,3066,6079,148,458,1951,2472,867,2474,3341,2217,652,451,1305,1796,8527
210,1985-86,PHI*,NBA,82,54,28,.659,19905,3435,7058,3384,6834,51,224,2130,2810,1326,2378,3704,2017,862,490,1595,1798,9051
211,2004-05,DET*,NBA,82,54,28,.659,19955,2851,6421,2488,5368,363,1053,1588,2150,1054,2507,3561,1787,576,497,1133,1638,7653
212,2008-09,POR*,NBA,82,54,28,.659,19830,3018,6494,2422,4939,596,1555,1521,1988,1060,2360,3420,1667,550,402,1055,1671,8153
213,1968-69,NYK*,NBA,82,54,28,.659,19730,3588,7813,3588,7813,,,1911,2596,,,4246,2071,,,,2175,9087
214,2008-09,DEN*,NBA,82,54,28,.659,19730,3058,6510,2510,5033,548,1477,1891,2487,905,2507,3412,1820,710,492,1257,1874,8555
215,2013-14,HOU*,NBA,82,54,28,.659,19830,3118,6603,2339,4424,779,2179,1814,2549,920,2797,3717,1755,621,461,1323,1676,8829
216,2018-19,DEN*,NBA,82,54,28,.659,19730,3439,7384,2536,4813,903,2571,1294,1714,972,2832,3804,2245,634,363,1102,1644,9075
217,1989-90,PHO*,NBA,82,54,28,.659,19855,3544,7139,3368,6596,176,543,2159,2716,1053,2651,3704,2109,668,501,1275,1825,9423
218,2013-14,MIA*,NBA,82,54,28,.659,19880,3142,6272,2477,4443,665,1829,1431,1884,627,2397,3024,1847,732,367,1212,1596,8380
219,1973-74,CHI*,NBA,82,54,28,.659,19780,3292,7378,3292,7378,,,1784,2314,1143,2616,3759,1868,764,316,1690,1874,8368
220,2005-06,PHO*,NBA,82,54,28,.659,19955,3430,7167,2593,5070,837,2097,1189,1475,778,2650,3428,2179,549,412,1088,1683,8886
221,1980-81,LAL*,NBA,82,54,28,.659,19805,3780,7382,3763,7288,17,94,1540,2113,1165,2491,3656,2363,808,551,1557,1955,9117
222,2009-10,PHO*,NBA,82,54,28,.659,19730,3339,6788,2609,5018,730,1770,1631,2117,910,2616,3526,1912,479,418,1210,1713,9039
223,2012-13,NYK*,NBA,82,54,28,.659,19730,2996,6689,2105,4318,891,2371,1313,1729,890,2436,3326,1579,672,294,988,1650,8196
224,1965-66,BOS*,NBA,80,54,26,.675,19225,3488,8367,3488,8367,,,2038,2758,,,5591,1795,,,,2012,9014
225,1967-68,BOS*,NBA,82,54,28,.659,19705,3686,8371,3686,8371,,,2151,2983,,,5666,1798,,,,2147,9523
226,1987-88,DET*,NBA,82,54,28,.659,19780,3461,7018,3403,6816,58,202,1977,2612,1181,2482,3663,2011,588,394,1348,1957,8957
227,2003-04,DET*,NBA,82,54,28,.659,19780,2747,6314,2414,5346,333,968,1561,2074,1014,2492,3506,1702,659,570,1241,1664,7388
228,2007-08,UTA*,NBA,82,54,28,.659,19705,3279,6592,2872,5497,407,1095,1745,2298,942,2410,3352,2165,717,355,1200,1970,8710
229,1987-88,DEN*,NBA,82,54,28,.659,19780,3770,7961,3578,7399,192,562,1841,2289,1163,2442,3605,2300,832,401,1186,1982,9573
230,2013-14,POR*,NBA,82,54,28,.659,19855,3207,7134,2437,5063,770,2071,1569,1926,1022,2786,3808,1904,454,387,1125,1576,8753
231,2008-09,SAS*,NBA,82,54,28,.659,19905,3042,6534,2417,4914,625,1620,1249,1641,728,2638,3366,1736,474,329,963,1546,7958
232,1992-93,CLE*,NBA,82,54,28,.659,19830,3425,6887,3142,6145,283,742,1699,2119,929,2496,3425,2349,615,536,1120,1580,8832
233,1996-97,CHH*,NBA,82,54,28,.659,19805,2988,6342,2397,4960,591,1382,1541,1984,910,2298,3208,2021,597,349,1203,1702,8108
234,1978-79,WSB*,NBA,82,54,28,.659,19780,3819,7873,3819,7873,,,1785,2428,1309,2768,4077,2169,614,401,1420,1804,9423
235,1961-62,LAL*,NBA,80,54,26,.675,,3552,8315,3552,8315,,,2378,3240,,,5600,1878,,,,2057,9482
236,1983-84,LAL*,NBA,82,54,28,.659,19780,3854,7250,3796,7024,58,226,1712,2272,1095,2499,3594,2455,726,478,1578,2054,9478
237,2000-01,DAL*,NBA,82,53,29,.646,19805,3085,6716,2568,5359,517,1357,1552,1954,831,2571,3402,1740,618,492,1141,1907,8239
238,1989-90,PHI*,NBA,82,53,29,.646,19805,3437,7028,3248,6485,189,543,1976,2509,1111,2406,3517,1932,687,365,1209,1697,9039
239,2006-07,DET*,NBA,82,53,29,.646,19880,2942,6484,2493,5179,449,1305,1539,1988,948,2374,3322,1768,583,472,1001,1672,7872
240,2000-01,UTA*,NBA,82,53,29,.646,19780,2960,6289,2635,5437,325,852,1714,2280,943,2383,3326,2110,661,463,1296,2107,7959
241,1999-00,SAS*,NBA,82,53,29,.646,19855,2952,6393,2622,5511,330,882,1652,2214,927,2666,3593,1819,614,551,1233,1716,7886
242,2018-19,POR*,NBA,82,53,29,.646,19855,3470,7427,2566,4907,904,2520,1558,1914,967,2968,3935,1887,546,413,1135,1669,9402
243,1962-63,LAL*,NBA,80,53,27,.663,,3506,7948,3506,7948,,,2230,2931,,,5282,1739,,,,1775,9242
244,1991-92,PHO*,NBA,82,53,29,.646,19805,3553,7219,3326,6623,227,596,1861,2397,1088,2558,3646,2202,673,582,1242,1852,9194
245,1999-00,PHO*,NBA,82,53,29,.646,19805,3093,6771,2635,5525,458,1246,1467,1934,1022,2558,3580,2098,744,433,1368,1973,8111
246,1976-77,LAL*,NBA,82,53,29,.646,19805,3663,7657,3663,7657,,,1437,1941,1177,2628,3805,2057,801,445,1538,1867,8763
247,1995-96,LAL*,NBA,82,53,29,.646,19680,3216,6706,2739,5347,477,1359,1529,2049,995,2303,3298,2080,722,516,1163,1702,8438
248,1993-94,UTA*,NBA,82,53,29,.646,19830,3207,6729,3028,6170,179,559,1761,2379,1059,2385,3444,2179,751,364,1191,1988,8354
249,1987-88,POR*,NBA,82,53,29,.646,19730,3661,7460,3544,7080,117,380,2079,2701,1251,2491,3742,2307,726,347,1351,2091,9518
250,1982-83,SAS*,NBA,82,53,29,.646,19780,3697,7340,3603,7032,94,308,1887,2468,1232,2599,3831,2261,675,469,1504,2095,9375
251,2009-10,UTA*,NBA,82,53,29,.646,19755,3227,6575,2788,5368,439,1207,1654,2233,872,2588,3460,2187,675,400,1246,1859,8547
252,2016-17,BOS*,NBA,82,53,29,.646,19755,3168,6978,2183,4236,985,2742,1536,1903,744,2698,3442,2069,617,340,1088,1686,8857
253,2008-09,HOU*,NBA,82,53,29,.646,19805,2959,6526,2338,4870,621,1656,1531,1903,862,2662,3524,1662,548,355,1158,1553,8070
254,2015-16,LAC*,NBA,82,53,29,.646,19830,3141,6759,2344,4569,797,2190,1490,2152,721,2727,3448,1873,709,460,1063,1746,8569
255,2009-10,DEN*,NBA,82,53,29,.646,19780,3124,6678,2580,5161,544,1517,1937,2508,889,2505,3394,1719,683,417,1136,1844,8729
256,2009-10,ATL*,NBA,82,53,29,.646,19855,3181,6801,2657,5346,524,1455,1452,1914,969,2451,3420,1789,592,413,980,1632,8338
257,2018-19,HOU*,NBA,82,53,29,.646,19830,3218,7163,1895,3442,1323,3721,1582,2001,836,2613,3449,1741,700,405,1094,1803,9341
258,1982-83,PHO*,NBA,82,53,29,.646,19730,3555,7158,3515,7000,40,158,1626,2189,1094,2518,3612,2300,749,495,1545,2062,8776
