,Date,Team,Acquired,Relinquised,Notes
4841,2014-03-29,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
4842,2014-03-29,Mavericks,,Gal Mekel,knee injury (DNP)
4843,2014-03-29,Pelicans,,Anthony Davis,left ankle injury (DNP)
4844,2014-03-29,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
4845,2014-03-29,Pelicans,,Jason Smith,right knee injury (DNP)
4846,2014-03-29,Pistons,,Charlie Villanueva,sore back (DNP)
4847,2014-03-29,Rockets,,Dwight Howard,sprained left ankle (DNP)
4848,2014-03-29,Rockets,,Patrick Beverley,torn meniscus in right knee / sprained right knee (P) (DNP)
4849,2014-03-29,Spurs,,Danny Green,right foot inflammation (DNP)
4850,2014-03-30,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
4851,2014-03-30,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
4852,2014-03-30,Cavaliers,,Sergey Karasev,patellar tendinitis in right knee (DNP)
4853,2014-03-30,Celtics,,Vitor Faverani,knee injury (DNP)
4854,2014-03-30,Lakers,,Pau Gasol,vertigo (DNP)
4855,2014-03-30,Lakers,,Steve Nash,nerve root irritation (DNP)
4856,2014-03-30,Lakers,,Xavier Henry,torn ligament in left wrist / knee injury (CBC) (DNP)
4857,2014-03-30,Nets,,Andrei Kirilenko,sprained left ankle (DNP)
4858,2014-03-30,Thunder,,Reggie Jackson,back spasms (DNP)
4859,2014-03-30,Warriors,,Andrew Bogut,bruised pelvis (DNP)
4860,2014-03-30,Warriors,,David Lee,strained right hamstring (DNP)
4861,2014-03-31,76ers,,Byron Mullens,sprained left ankle (DNP)
4862,2014-03-31,Bucks,,Ersan Ilyasova,right ankle injury (DNP)
4863,2014-03-31,Bucks,,Nate Wolters,fractured left hand (DNP)
4864,2014-03-31,Celtics,,Vitor Faverani,knee injury (DNP)
4865,2014-03-31,Clippers,,Blake Griffin,back spasms (DNP)
4866,2014-03-31,Clippers,,Danny Granger,strained left hamstring (DNP)
4867,2014-03-31,Clippers,,Jamal Crawford,left calf injury (DNP)
4868,2014-03-31,Heat,,Dwyane Wade,strained left hamstring (DNP)
4869,2014-03-31,Kings,,Aaron Gray,illness (DNP)
4870,2014-03-31,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
4871,2014-03-31,Knicks,,Amar'e Stoudemire,knee injury (DNP)
4872,2014-03-31,Knicks,,Toure' Murry,stomach virus (DNP)
4873,2014-03-31,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
4874,2014-03-31,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
4875,2014-03-31,Nuggets,,Wilson Chandler,strained left groin (DNP)
4876,2014-03-31,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
4877,2014-03-31,Pelicans,,Jason Smith,right knee injury (DNP)
4878,2014-03-31,Spurs,,Aron Baynes,sprained right foot / rib injury (CBC) (DNP)
4879,2014-04-01,Mavericks,,Gal Mekel,knee injury (DNP)
4880,2014-04-01,Nets,,Andrei Kirilenko,sprained left ankle (DNP)
4881,2014-04-01,Nets,,Marcus Thornton,back injury (DNP)
4882,2014-04-01,Rockets,,Dwight Howard,sprained left ankle (DNP)
4883,2014-04-01,Rockets,,Patrick Beverley,sprained right knee (DNP)
4884,2014-04-01,Rockets,,Terrence Jones,flu (DNP)
4885,2014-04-01,Warriors,,Andrew Bogut,bruised pelvis (DNP)
4886,2014-04-01,Warriors,,David Lee,strained right hamstring (DNP)
4887,2014-04-02,76ers,,Byron Mullens,sprained left ankle (DNP)
4888,2014-04-02,Bobcats,,Josh McRoberts,sprained left ankle (DNP)
4889,2014-04-02,Bucks,,Ersan Ilyasova,right ankle injury (DNP)
4890,2014-04-02,Bucks,,Nate Wolters,fractured left hand (DNP)
4891,2014-04-02,Bucks,,O.J. Mayo,sprained right ankle (DNP)
4892,2014-04-02,Cavaliers,,Anderson Varejao,sprained AC joint in right shoulder (DNP)
4893,2014-04-02,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
4894,2014-04-02,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
4895,2014-04-02,Celtics,,Avery Bradley,strained right Achilles tendon (DNP)
4896,2014-04-02,Celtics,,Vitor Faverani,knee injury (DNP)
4897,2014-04-02,Clippers,,Danny Granger,strained left hamstring (DNP)
4898,2014-04-02,Clippers,,Jamal Crawford,left calf injury (DNP)
4899,2014-04-02,Kings,,Aaron Gray,stomach illness (DNP)
4900,2014-04-02,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
4901,2014-04-02,Lakers,,Chris Kaman,sore right calf (DNP)
4902,2014-04-02,Lakers,,Pau Gasol,vertigo (DNP)
4903,2014-04-02,Lakers,,Steve Nash,sprained ankle / nerve root irritation (P) (DNP)
4904,2014-04-02,Lakers,,Xavier Henry,torn ligament in left wrist (DNP)
4905,2014-04-02,Nets,,Andrei Kirilenko,sprained left ankle (DNP)
4906,2014-04-02,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
4907,2014-04-02,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
4908,2014-04-02,Nuggets,,Wilson Chandler,strained left groin (DNP)
4909,2014-04-02,Pacers,,Solomon Hill,sore back (DNP)
4910,2014-04-02,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
4911,2014-04-02,Pelicans,,Jason Smith,right knee injury (DNP)
4912,2014-04-02,Rockets,,Dwight Howard,sprained left ankle (DNP)
4913,2014-04-02,Rockets,,Patrick Beverley,sprained right knee (DNP)
4914,2014-04-02,Spurs,,Aron Baynes,rib injury (DNP)
4915,2014-04-02,Spurs,,Austin Daye,strained lat (DNP)
4916,2014-04-02,Warriors,,Andre Iguodala,right knee injury (DNP)
4917,2014-04-02,Warriors,,Andrew Bogut,bruised pelvis (DNP)
4918,2014-04-02,Warriors,,David Lee,strained right hamstring / right knee tendinitis (P) (DNP)
4919,2014-04-02,Heat,,Ray Allen,stomach virus (DNP)
4920,2014-04-03,Clippers,,Jamal Crawford,left calf injury (DNP)
4921,2014-04-03,Mavericks,,Gal Mekel,knee injury (DNP)
4922,2014-04-03,Spurs,,Austin Daye,strained lat (DNP)
4923,2014-04-03,Spurs,,Manu Ginobili,rest (DNP)
4924,2014-04-04,76ers,,Byron Mullens,sprained left ankle (DNP)
4925,2014-04-04,Bobcats,,Josh McRoberts,sprained left ankle (DNP)
4926,2014-04-04,Bucks,,Ekpe Udoh,right knee injury (DNP)
4927,2014-04-04,Bucks,,Ersan Ilyasova,right ankle injury (DNP)
4928,2014-04-04,Bucks,,Nate Wolters,fractured left hand (DNP)
4929,2014-04-04,Bucks,,O.J. Mayo,sprained right ankle (DNP)
4930,2014-04-04,Cavaliers,,Sergey Karasev,right knee tendinitis (DNP)
4931,2014-04-04,Celtics,,Avery Bradley,strained right Achilles tendon (DNP)
4932,2014-04-04,Celtics,,Vitor Faverani,knee injury (DNP)
4933,2014-04-04,Heat,,Justin Hamilton,illness (DNP)
4934,2014-04-04,Kings,,Aaron Gray,illness (DNP)
4935,2014-04-04,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
4936,2014-04-04,Lakers,,Chris Kaman,sore right calf (DNP)
4937,2014-04-04,Lakers,,Pau Gasol,vertigo (DNP)
4938,2014-04-04,Lakers,,Xavier Henry,torn ligament in left wrist (DNP)
4939,2014-04-04,Magic,,Nikola Vucevic,sore left Achilles (DNP)
4940,2014-04-04,Mavericks,,Gal Mekel,knee injury (DNP)
4941,2014-04-04,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
4942,2014-04-04,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
4943,2014-04-04,Nuggets,,Wilson Chandler,strained left groin (DNP)
4944,2014-04-04,Pacers,,Solomon Hill,sore back (DNP)
4945,2014-04-04,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
4946,2014-04-04,Pelicans,,Jason Smith,right knee injury (DNP)
4947,2014-04-04,Rockets,,Dwight Howard,sprained left ankle (DNP)
4948,2014-04-04,Rockets,,Patrick Beverley,sprained right knee (DNP)
4949,2014-04-04,Thunder,,Russell Westbrook,rest / knee injury (DNP)
4950,2014-04-04,Timberwolves,,Kevin Martin,sore right foot (DNP)
4951,2014-04-04,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
4952,2014-04-04,Warriors,,Andrew Bogut,bruised pelvis (DNP)
4953,2014-04-04,Warriors,,David Lee,strained right hamstring (DNP)
4954,2014-04-05,76ers,,Byron Mullens,sprained left ankle (DNP)
4955,2014-04-05,Bobcats,,Josh McRoberts,sprained left ankle (DNP)
4956,2014-04-05,Bucks,,Ekpe Udoh,right knee injury (DNP)
4957,2014-04-05,Bucks,,Ersan Ilyasova,right ankle injury (DNP)
4958,2014-04-05,Bucks,,Miroslav Raduljica,sprained ankle (DNP)
4959,2014-04-05,Bucks,,Nate Wolters,fractured left hand (DNP)
4960,2014-04-05,Bucks,,O.J. Mayo,sprained right ankle (DNP)
4961,2014-04-05,Cavaliers,,Sergey Karasev,right knee tendinitis (DNP)
4962,2014-04-05,Celtics,,Avery Bradley,strained right Achilles tendon (DNP)
4963,2014-04-05,Celtics,,Kris Humphries,strained patella tendon in right knee (DNP)
4964,2014-04-05,Celtics,,Rajon Rondo,rest (DNP)
4965,2014-04-05,Celtics,,Vitor Faverani,knee injury (DNP)
4966,2014-04-05,Lakers,,Steve Nash,back injury (DNP)
4967,2014-04-05,Magic,,Nikola Vucevic,sore left Achilles (DNP)
4968,2014-04-05,Timberwolves,,Kevin Love,back spasms (DNP)
4969,2014-04-05,Timberwolves,,Kevin Martin,sore right foot (DNP)
4970,2014-04-05,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
4971,2014-04-05,Timberwolves,,Shabazz Muhammad,sore right knee (DNP)
4972,2014-04-06,Clippers,,Danny Granger,strained left hamstring (DNP)
4973,2014-04-06,Clippers,,Jamal Crawford,left calf injury (DNP)
4974,2014-04-06,Hawks,,Lou Williams,hamstring injury (DNP)
4975,2014-04-06,Heat,,Chris Andersen,bruised right knee (DNP)
4976,2014-04-06,Heat,,Justin Hamilton,illness (DNP)
4977,2014-04-06,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
4978,2014-04-06,Lakers,,Chris Kaman,sore/strained right calf (DNP)
4979,2014-04-06,Lakers,,Pau Gasol,vertigo (DNP)
4980,2014-04-06,Lakers,,Steve Nash,nerve root irritation (DNP)
4981,2014-04-06,Mavericks,,Gal Mekel,knee injury (DNP)
4982,2014-04-06,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
4983,2014-04-06,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
4984,2014-04-06,Nuggets,,Ty Lawson,sprained left ankle (DNP)
4985,2014-04-06,Nuggets,,Wilson Chandler,strained left groin (DNP)
4986,2014-04-06,Pacers,,Solomon Hill,sore back (DNP)
4987,2014-04-06,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
4988,2014-04-06,Pelicans,,Jason Smith,right knee injury (DNP)
4989,2014-04-06,Rockets,,Dwight Howard,sprained left ankle (DNP)
4990,2014-04-06,Rockets,,Patrick Beverley,sprained right knee (DNP)
4991,2014-04-06,Warriors,,David Lee,strained right hamstring / nerve irritation in right leg (P) (DNP)
4992,2014-04-06,Lakers,,Jordan Farmar,strained right groin (DNP)
4993,2014-04-07,Lakers,,Kent Bazemore,right foot injury (out indefinitely)
4994,2014-04-08,Hawks,,Lou Williams,hamstring injury (DNP)
4995,2014-04-08,Heat,,Udonis Haslem,stomach virus (DNP)
4996,2014-04-08,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
4997,2014-04-08,Kings,,Reggie Evans,sore lower back (DNP)
4998,2014-04-08,Kings,,Rudy Gay,strained lower back (DNP)
4999,2014-04-08,Lakers,,Chris Kaman,sore/strained right calf (DNP)
5000,2014-04-08,Lakers,,Kent Bazemore,torn tendon in right foot (DNP)
5001,2014-04-08,Lakers,,Pau Gasol,vertigo (DNP)
5002,2014-04-08,Mavericks,,Gal Mekel,knee injury (DNP)
5003,2014-04-08,Nets,,Andray Blatche,illness (DNP)
5004,2014-04-08,Pelicans,,Ryan Anderson,surgery on neck to repair herniated disc (out for season) (date approximate)
5005,2014-04-08,Pistons,,Josh Smith,knee injury (DNP)
5006,2014-04-08,Rockets,,Dwight Howard,sprained left ankle (DNP)
5007,2014-04-08,Rockets,,Patrick Beverley,sprained right knee (DNP)
5008,2014-04-08,Thunder,,Russell Westbrook,knee injury (DNP)
5009,2014-04-08,Timberwolves,,Chase Budinger,sprained right ankle (DNP)
5010,2014-04-08,Timberwolves,,Kevin Martin,sore right foot (DNP)
5011,2014-04-08,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
5012,2014-04-09,76ers,,Byron Mullens,sprained left ankle (DNP)
5013,2014-04-09,Bucks,,Ekpe Udoh,right knee injury (DNP)
5014,2014-04-09,Bucks,,Miroslav Raduljica,sprained ankle (DNP)
5015,2014-04-09,Bucks,,O.J. Mayo,sprained right ankle (DNP)
5016,2014-04-09,Celtics,,Kris Humphries,strained patella tendon in right knee (DNP)
5017,2014-04-09,Celtics,,Vitor Faverani,knee injury (DNP)
5018,2014-04-09,Clippers,,Danny Granger,strained left hamstring (DNP)
5019,2014-04-09,Clippers,,Jamal Crawford,left calf injury (DNP)
5020,2014-04-09,Hawks,,Pero Antic,sore right ankle (DNP)
5021,2014-04-09,Heat,,Chris Andersen,bruised right knee (DNP)
5022,2014-04-09,Heat,,Udonis Haslem,stomach virus (DNP)
5023,2014-04-09,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
5024,2014-04-09,Kings,,Rudy Gay,strained lower back (DNP)
5025,2014-04-09,Magic,,Nikola Vucevic,sore left Achilles (DNP)
5026,2014-04-09,Nets,,Paul Pierce,right hip pointer (DNP)
5027,2014-04-09,Nets,,Shaun Livingston,sprained right big toe (DNP)
5028,2014-04-09,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
5029,2014-04-09,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
5030,2014-04-09,Nuggets,,Ty Lawson,sprained left ankle (DNP)
5031,2014-04-09,Nuggets,,Wilson Chandler,strained left groin (DNP)
5032,2014-04-09,Pacers,,David West,rest (DNP)
5033,2014-04-09,Pacers,,George Hill,rest (DNP)
5034,2014-04-09,Pacers,,Lance Stephenson,rest (DNP)
5035,2014-04-09,Pacers,,Paul George,rest (DNP)
5036,2014-04-09,Pelicans,,Anthony Davis,back spasms (DNP)
5037,2014-04-09,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
5038,2014-04-09,Pelicans,,Jason Smith,right knee injury (DNP)
5039,2014-04-09,Pistons,,Josh Smith,patellar tendinitis in left knee (DNP)
5040,2014-04-09,Rockets,,Patrick Beverley,sprained right knee (DNP)
5041,2014-04-09,Timberwolves,,Chase Budinger,sprained right ankle (DNP)
5042,2014-04-09,Timberwolves,,J.J. Barea,back spasms (DNP)
5043,2014-04-09,Timberwolves,,Kevin Martin,sore right foot (DNP)
5044,2014-04-09,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
5045,2014-04-10,Mavericks,,Gal Mekel,knee injury (DNP)
5046,2014-04-10,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
5047,2014-04-10,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
5048,2014-04-10,Nuggets,,Ty Lawson,sprained left ankle (DNP)
5049,2014-04-10,Nuggets,,Wilson Chandler,strained left groin (DNP)
5050,2014-04-10,Warriors,,David Lee,strained right hamstring / nerve irritation in right leg (P) (DNP)
5051,2014-04-11,Bobcats,,Kemba Walker,sore right groin (DNP)
5052,2014-04-11,Bucks,,Ekpe Udoh,right knee injury (DNP)
5053,2014-04-11,Bucks,,O.J. Mayo,sprained right ankle (DNP)
5054,2014-04-11,Cavaliers,,Luol Deng,back injury (DNP)
5055,2014-04-11,Celtics,,Rajon Rondo,bruised left shin (DNP)
5056,2014-04-11,Celtics,,Vitor Faverani,knee injury (DNP)
5057,2014-04-11,Lakers,,Chris Kaman,sore/strained right calf (DNP)
5058,2014-04-11,Lakers,,Kent Bazemore,torn tendon in right foot (DNP)
5059,2014-04-11,Lakers,,Pau Gasol,vertigo (DNP)
5060,2014-04-11,Lakers,,Steve Nash,back injury / nerve root irritation (DNP)
5061,2014-04-11,Lakers,,Xavier Henry,surgery on left wrist and right knee (out indefinitely)
5062,2014-04-11,Magic,,Nikola Vucevic,sore left Achilles (DNP)
5063,2014-04-11,Nets,,Alan Anderson,sore abdominal muscle (DNP)
5064,2014-04-11,Nets,,Shaun Livingston,sprained right big toe (DNP)
5065,2014-04-11,Pelicans,,Anthony Davis,back spasms (DNP)
5066,2014-04-11,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
5067,2014-04-11,Pistons,,Josh Smith,patellar tendinitis in left knee (DNP)
5068,2014-04-11,Rockets,,Patrick Beverley,sprained right knee (DNP)
5069,2014-04-11,Spurs,,Manu Ginobili,calf injury / rest (DNP)
5070,2014-04-11,Spurs,,Matt Bonner,food poisoning (DNP)
5071,2014-04-11,Spurs,,Tim Duncan,placed on IL for rest
5072,2014-04-11,Suns,,Goran Dragic,sprained ankle (DNP)
5073,2014-04-11,Timberwolves,,Chase Budinger,sprained right ankle (DNP)
5074,2014-04-11,Timberwolves,,Kevin Love,hyperextended right elbow (DNP)
5075,2014-04-11,Timberwolves,,Kevin Martin,sore right foot (DNP)
5076,2014-04-11,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
5077,2014-04-11,Warriors,,Andre Iguodala,right knee tendinitis (DNP)
5078,2014-04-11,Warriors,,Jermaine O'Neal,left knee injury (DNP)
5079,2014-04-11,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
5080,2014-04-11,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
5081,2014-04-12,76ers,,Jarvis Varnado,sore right heel (DNP)
5082,2014-04-12,Bobcats,,Kemba Walker,sore right groin (DNP)
5083,2014-04-12,Bucks,,Brandon Knight,hip injury (DNP)
5084,2014-04-12,Bucks,,Ekpe Udoh,right knee injury (DNP)
5085,2014-04-12,Bucks,,O.J. Mayo,sprained right ankle (DNP)
5086,2014-04-12,Cavaliers,,Anthony Bennett,strained patellar tendon in left knee (DNP)
5087,2014-04-12,Cavaliers,,C.J. Miles,sprained left ankle (DNP)
5088,2014-04-12,Cavaliers,,Luol Deng,back injury (DNP)
5089,2014-04-12,Celtics,,Jared Sullinger,sprained left ankle (DNP)
5090,2014-04-12,Celtics,,Jerryd Bayless,hyperextended right knee (DNP)
5091,2014-04-12,Celtics,,Kris Humphries,strained patella tendon in right knee (DNP)
5092,2014-04-12,Celtics,,Rajon Rondo,bruised left shin (DNP)
5093,2014-04-12,Celtics,,Vitor Faverani,knee injury (DNP)
5094,2014-04-12,Clippers,,Danny Granger,strained left hamstring (DNP)
5095,2014-04-12,Hawks,,Pero Antic,sprained right ankle (DNP)
5096,2014-04-12,Jazz,,Marvin Williams,knee injury (DNP)
5097,2014-04-12,Kings,,Isaiah Thomas,bruised right quadriceps (DNP)
5098,2014-04-12,Mavericks,,Gal Mekel,knee injury (DNP)
5099,2014-04-12,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
5100,2014-04-12,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
5101,2014-04-12,Nuggets,,Ty Lawson,sprained left ankle (DNP)
5102,2014-04-12,Pelicans,,Anthony Davis,back spasms (DNP)
5103,2014-04-12,Pelicans,,Brian Roberts,sprained left ankle (DNP)
5104,2014-04-12,Pelicans,,Eric Gordon,left knee tendinitis (surgery) (DNP)
5105,2014-04-12,Pelicans,,Jason Smith,right knee injury (DNP)
5106,2014-04-12,Pelicans,,Tyreke Evans,DNP
5107,2014-04-12,Rockets,,Chandler Parsons,sore wrist (DNP)
5108,2014-04-13,Kings,,Rudy Gay,strained lower back (DNP)
5109,2014-04-13,Lakers,,Chris Kaman,sore/strained right calf (DNP)
5110,2014-04-13,Lakers,,Kent Bazemore,torn tendon in right foot (DNP)
5111,2014-04-13,Lakers,,Pau Gasol,vertigo (DNP)
5112,2014-04-13,Lakers,,Steve Nash,back injury / nerve root irritation (DNP)
5113,2014-04-13,Magic,,Jameer Nelson,strained left groin (DNP)
5114,2014-04-13,Magic,,Nikola Vucevic,sore left Achilles (DNP)
5115,2014-04-13,Nets,,Alan Anderson,sore abdominal muscle (DNP)
5116,2014-04-13,Pistons,,Josh Smith,patellar tendinitis in left knee (DNP)
5117,2014-04-13,Raptors,,Landry Fields,respiratory ailment (DNP)
5118,2014-04-13,Timberwolves,,Chase Budinger,sprained right ankle (DNP)
5119,2014-04-13,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
5120,2014-04-14,Bucks,,Ekpe Udoh,right knee injury (DNP)
5121,2014-04-14,Bucks,,O.J. Mayo,sprained right ankle (DNP)
5122,2014-04-14,Celtics,,Jared Sullinger,sprained left ankle (DNP)
5123,2014-04-14,Celtics,,Jerryd Bayless,hyperextended right knee (DNP)
5124,2014-04-14,Celtics,,Kris Humphries,strained patella tendon in right knee (DNP)
5125,2014-04-14,Celtics,,Vitor Faverani,knee injury (DNP)
5126,2014-04-14,Jazz,,Marvin Williams,knee injury (DNP)
5127,2014-04-14,Lakers,,Chris Kaman,sore/strained right calf (DNP)
5128,2014-04-14,Lakers,,Kent Bazemore,torn tendon in right foot (DNP)
5129,2014-04-14,Lakers,,Pau Gasol,vertigo (DNP)
5130,2014-04-14,Lakers,,Steve Nash,back injury / nerve root irritation (DNP)
5131,2014-04-14,Magic,,Jameer Nelson,strained left groin (DNP)
5132,2014-04-14,Magic,,Nikola Vucevic,sore left Achilles (DNP)
5133,2014-04-14,Pelicans,,Anthony Davis,back spasms (DNP)
5134,2014-04-14,Pelicans,,Brian Roberts,sprained left ankle (DNP)
5135,2014-04-14,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
5136,2014-04-14,Pelicans,,Jason Smith,right knee injury (DNP)
5137,2014-04-14,Raptors,,DeMar DeRozan,DNP
5138,2014-04-14,Raptors,,Landry Fields,respiratory ailment (DNP)
5139,2014-04-14,Spurs,,Patty Mills,rest (DNP)
5140,2014-04-14,Timberwolves,,Chase Budinger,sprained right ankle (DNP)
5141,2014-04-14,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
5142,2014-04-14,Timberwolves,,Ronny Turiaf,right knee injury (DNP)
5143,2014-04-15,Clippers,,Danny Granger,strained left hamstring (DNP)
5144,2014-04-15,Knicks,,Carmelo Anthony,torn labrum in right shoulder (DNP)
5145,2014-04-15,Nets,,Alan Anderson,sore abdominal muscle (DNP)
5146,2014-04-15,Nets,,Shaun Livingston,sprained right big toe (DNP)
5147,2014-04-15,Nuggets,,Danilo Gallinari,torn ACL in left knee (out for season)
5148,2014-04-15,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
5149,2014-04-15,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
5150,2014-04-15,Nuggets,,Ty Lawson,sprained left ankle (DNP)
5151,2014-04-16,Bucks,,Ekpe Udoh,right knee injury (DNP)
5152,2014-04-16,Bucks,,O.J. Mayo,sprained right ankle (DNP)
5153,2014-04-16,Cavaliers,,Anderson Varejao,DNP
5154,2014-04-16,Celtics,,Jared Sullinger,sprained left ankle (DNP)
5155,2014-04-16,Celtics,,Jerryd Bayless,hyperextended right knee (DNP)
5156,2014-04-16,Celtics,,Kris Humphries,strained patella tendon in right knee (DNP)
5157,2014-04-16,Celtics,,Vitor Faverani,knee injury (DNP)
5158,2014-04-16,Clippers,,Chris Paul,rest (DNP)
5159,2014-04-16,Clippers,,Danny Granger,strained left hamstring (DNP)
5160,2014-04-16,Clippers,,J.J. Redick,rest (DNP)
5161,2014-04-16,Hawks,,Paul Millsap,DNP
5162,2014-04-16,Heat,,Mario Chalmers,DNP
5163,2014-04-16,Jazz,,Enes Kanter,knee injury (DNP)
5164,2014-04-16,Jazz,,Marvin Williams,knee injury (DNP)
5165,2014-04-16,Knicks,,Carmelo Anthony,torn labrum in right shoulder (DNP)
5166,2014-04-16,Knicks,,Raymond Felton,ankle injury (DNP)
5167,2014-04-16,Lakers,,Chris Kaman,sore/strained right calf (DNP)
5168,2014-04-16,Lakers,,Kent Bazemore,torn tendon in right foot (DNP)
5169,2014-04-16,Lakers,,Kent Bazemore,surgery on right foot to repair torn tendon
5170,2014-04-16,Lakers,,Pau Gasol,vertigo (DNP)
5171,2014-04-16,Lakers,,Steve Nash,back injury / nerve root irritation (DNP)
5172,2014-04-16,Magic,,Jameer Nelson,strained left groin (DNP)
5173,2014-04-16,Magic,,Nikola Vucevic,sore left Achilles (DNP)
5174,2014-04-16,Mavericks,,Gal Mekel,knee injury (DNP)
5175,2014-04-16,Nets,,Alan Anderson,sore abdominal muscle (DNP)
5176,2014-04-16,Nets,,Deron Williams,right knee tendinitis (DNP)
5177,2014-04-16,Nets,,Joe Johnson,right calf injury (DNP)
5178,2014-04-16,Nets,,Kevin Garnett,rest (DNP)
5179,2014-04-16,Nets,,Paul Pierce,rest (DNP)
5180,2014-04-16,Nets,,Shaun Livingston,sprained right big toe (DNP)
5181,2014-04-16,Nuggets,,J.J. Hickson,recovering from surgery on right knee to repair torn ACL (DNP)
5182,2014-04-16,Nuggets,,Nate Robinson,recovering from surgery on left knee to repair torn ACL (DNP)
5183,2014-04-16,Nuggets,,Ty Lawson,sprained left ankle (DNP)
5184,2014-04-16,Pelicans,,Anthony Davis,back spasms (DNP)
5185,2014-04-16,Pelicans,,Eric Gordon,left knee tendinitis (DNP)
5186,2014-04-16,Pelicans,,Jason Smith,right knee injury (DNP)
5187,2014-04-16,Pistons,,Josh Smith,patellar tendinitis in left knee (DNP)
5188,2014-04-16,Raptors,,Landry Fields,respiratory ailment (DNP)
5189,2014-04-16,Rockets,,Chandler Parsons,rest (DNP)
5190,2014-04-16,Rockets,,Jeremy Lin,rest (DNP)
5191,2014-04-16,Suns,,Goran Dragic,ankle injury (DNP)
5192,2014-04-16,Timberwolves,,Chase Budinger,sprained right ankle (DNP)
5193,2014-04-16,Timberwolves,,J.J. Barea,back spasms (DNP)
5194,2014-04-16,Timberwolves,,Nikola Pekovic,sore right ankle (DNP)
5195,2014-04-16,Warriors,,Andrew Bogut,fractured right rib (DNP)
5196,2014-04-16,Warriors,,David Lee,rest (DNP)
5197,2014-04-16,Warriors,,Nemanja Nedovic,calf injury (DNP)
5198,2014-04-16,Warriors,,Stephen Curry,rest (DNP)
5199,2014-04-16,Warriors,,Andre Iguodala,rest (DNP)
5200,2014-04-19,Raptors,,Landry Fields,respiratory ailment (DNP)
5201,2014-04-19,Warriors,,Andrew Bogut,fractured right rib (DNP)
5202,2014-04-20,Heat,,Michael Beasley,sprained right ankle (DNP)
5203,2014-04-20,Mavericks,,Gal Mekel,knee injury (DNP)
5204,2014-04-21,Warriors,,Andrew Bogut,fractured right rib (DNP)
5205,2014-04-23,Mavericks,,Gal Mekel,knee injury (DNP)
5206,2014-04-24,Warriors,,Andrew Bogut,fractured right rib (DNP)
5207,2014-04-26,Mavericks,,Gal Mekel,knee injury (DNP)
5208,2014-04-27,Raptors,,Landry Fields,back spasms (DNP)
5209,2014-04-27,Warriors,,Andrew Bogut,fractured right rib (DNP)
5210,2014-04-28,Bobcats,,Al Jefferson,strained plantar fascia in left foot (DNP)
5211,2014-04-28,Mavericks,,Gal Mekel,knee injury (DNP)
