,Date,Team,Acquired,Relinquised,Notes
8968,2017-11-14,Rockets,,Nene Hilario,sprained right foot (DTD)
8969,2017-11-14,Spurs,Emanuel Ginobili / Manu Ginobili,,returned to lineup
8970,2017-11-15,Bucks,,Matthew Dellavedova,left knee tendinitis (DTD)
8971,2017-11-15,Magic,,Jonathan Isaac,sprained right ankle (DTD)
8972,2017-11-15,Thunder,Carmelo Anthony,,returned to lineup
8973,2017-11-15,Timberwolves,Cole Aldrich,,returned to lineup
8974,2017-11-16,Raptors,,Delon Wright,dislocated right shoulder (out indefinitely)
8975,2017-11-16,Rockets,Nene Hilario,,returned to lineup
8976,2017-11-17,76ers,,Justin Anderson,shin splints in left leg (DTD)
8977,2017-11-17,Blazers,Meyers Leonard,,returned to lineup
8978,2017-11-17,Grizzlies,,Wayne Selden,right quadricep injury (DTD)
8979,2017-11-17,Jazz,,Ricky Rubio,sore right Achilles (DTD)
8980,2017-11-17,Nets,,D'Angelo Russell,arthroscopic surgery on left knee (out indefinitely)
8981,2017-11-17,Timberwolves,Gorgui Dieng,,returned to lineup
8982,2017-11-17,Grizzlies,,Ivan Rabb,concussion (DTD)
8983,2017-11-18,Cavaliers,,Iman Shumpert,left knee injury (DTD)
8984,2017-11-18,Jazz,Ricky Rubio,,returned to lineup
8985,2017-11-18,Hawks,,Mike Muscala,sprained left ankle (DTD)
8986,2017-11-19,Grizzlies,,Brandan Wright,right groin injury (DTD)
8987,2017-11-19,Nuggets,,Paul Millsap,sore left wrist (DTD)
8988,2017-11-19,Warriors,,Kevin Durant,sprained left ankle (DTD)
8989,2017-11-19,Wizards,,John Wall,sore left knee / left knee inflammation (DTD)
8990,2017-11-20,76ers,,Richaun Holmes,illness (DTD)
8991,2017-11-20,76ers,Jerryd Bayless,,returned to lineup
8992,2017-11-20,Clippers,Patrick Beverley,,returned to lineup
8993,2017-11-20,Pelicans,Tony Allen,,returned to lineup
8994,2017-11-20,Wizards,John Wall,,returned to lineup
8995,2017-11-21,Bucks,,John Henson,eye injury (DTD)
8996,2017-11-21,Bucks,,Mirza Teletovic,arthroscopic surgery on left knee to repair torn cartilage (out indefinitely)
8997,2017-11-21,Hawks,,Luke Babbitt,lower back spasms (DTD)
8998,2017-11-22,76ers,Richaun Holmes,,returned to lineup
8999,2017-11-22,Bucks,,Giannis Antetokounmpo,sore right knee (DTD)
9000,2017-11-22,Nets,,Trevor Booker,sprained left ankle (DTD)
9001,2017-11-22,Rockets,,Eric Gordon,tightness in right calf (DTD)
9002,2017-11-22,Clippers,,Patrick Beverley,arthroscopic surgery on right knee to repair lateral meniscus (out for season)
9003,2017-11-24,76ers,,Ben Simmons,left elbow injury (DTD)
9004,2017-11-24,Celtics,,Shane Larkin,undisclosed injury (DTD)
9005,2017-11-24,Hornets,,Nicolas Batum,ulnar nerve contusion (DTD)
9006,2017-11-24,Nets,Trevor Booker,,returned to lineup
9007,2017-11-24,Timberwolves,,Jeff Teague,sore right Achilles (DTD)
9008,2017-11-24,Grizzlies,Ivan Rabb,,returned to lineup
9009,2017-11-25,Bucks,Giannis Antetokounmpo,,returned to lineup
9010,2017-11-25,Celtics,Shane Larkin,,returned to lineup
9011,2017-11-25,Hornets,Nicolas Batum,,returned to lineup
9012,2017-11-25,Knicks,,Kristaps Porzingis,tightness in lower back (DTD)
9013,2017-11-25,Knicks,Ron Baker,,returned to lineup
9014,2017-11-25,Rockets,Eric Gordon,,returned to lineup
9015,2017-11-26,Nets,,Allen Crabbe,sore lower back (DTD)
9016,2017-11-26,Nets,,Trevor Booker,right big toe inflammation (DTD)
9017,2017-11-26,Rockets,,Nene Hilario,strained right shoulder (DTD)
9018,2017-11-26,Suns,,Devin Booker,right big toe injury (DTD)
9019,2017-11-27,76ers,Ben Simmons,,returned to lineup
9020,2017-11-27,Hornets,,Kemba Walker,sore left shoulder (DTD)
9021,2017-11-27,Knicks,Kristaps Porzingis,,returned to lineup
9022,2017-11-27,Mavericks,,Nerlens Noel,thumb injury (DTD)
9023,2017-11-27,Nets,,DeMarre Carroll,illness (DTD)
9024,2017-11-27,Nuggets,,Paul Millsap,surgery on left wrist (out indefinitely)
9025,2017-11-27,Spurs,,Rudy Gay,sore right heel (DTD)
9026,2017-11-28,Clippers,,Blake Griffin,sprained MCL in left knee (out indefinitely)
9027,2017-11-28,Jazz,,Rodney Hood,sore left ankle (DTD)
9028,2017-11-28,Suns,Devin Booker,,returned to lineup
9029,2017-11-29,Grizzlies,,Chandler Parsons,sore right knee (DTD)
9030,2017-11-29,Hawks,,Dewayne Dedmon,stress reaction in left tibia (DTD)
9031,2017-11-29,Heat,,Hassan Whiteside,bone bruise in left knee (DTD)
9032,2017-11-29,Knicks,,Kristaps Porzingis,sore ankle (DTD)
9033,2017-11-29,Nets,DeMarre Carroll,,returned to lineup
9034,2017-11-29,Raptors,,Lucas Nogueira,strained right calf (DTD)
9035,2017-11-29,Rockets,,Zhou Qi,sore left calf (DTD)
9036,2017-11-29,Rockets,Nene Hilario,,returned to lineup
9037,2017-11-29,Spurs,Rudy Gay,,returned to lineup
9038,2017-11-30,Magic,,Terrence Ross,sprained MCL in right knee and fractured right leg (out indefinitely)
9039,2017-11-30,Nuggets,,Nikola Jokic,sprained left ankle (DTD)
9040,2017-12-01,Bulls,,Bobby Portis,right arm injury (DTD)
9041,2017-12-01,Cavaliers,,Iman Shumpert,arthroscopic surgery on left knee (out indefinitely)
9042,2017-12-01,Grizzlies,Chandler Parsons,,returned to lineup
9043,2017-12-01,Mavericks,,Nerlens Noel,surgery on thumb (out indefinitely)
9044,2017-12-01,Timberwolves,Jeff Teague,,returned to lineup
9045,2017-12-02,Hawks,,John Collins,left shoulder injury (out indefinitely)
9046,2017-12-02,Kings,,Willie Cauley-Stein,sore back (DTD)
9047,2017-12-02,Nets,Allen Crabbe,,returned to lineup
9048,2017-12-02,Pelicans,,Anthony Davis,strained adductor in left groin/pelvis (DTD)
9049,2017-12-02,Rockets,,Troy Williams,sprained MCL in right knee (DTD)
9050,2017-12-02,Suns,,Alex Len,ankle injury (DTD)
9051,2017-12-03,Spurs,,Manu Ginobili,rest (DTD)
9052,2017-12-03,Spurs,,LaMarcus Aldridge,rest (DTD)
9053,2017-12-04,Bulls,Bobby Portis,,returned to lineup
9054,2017-12-04,Spurs,,Joffrey Lauvergne,finger injury (DTD)
9055,2017-12-04,Spurs,Emanuel Ginobili / Manu Ginobili,,returned to lineup
9056,2017-12-04,Spurs,LaMarcus Aldridge,,returned to lineup
9057,2017-12-04,Suns,Alex Len,,returned to lineup
9058,2017-12-04,Warriors,,Zaza Pachulia,sore left shoulder (DTD)
9059,2017-12-05,Jazz,,Raul Neto,sore right foot (DTD)
9060,2017-12-05,Kings,,Willie Cauley-Stein,strained lower back (DTD)
9061,2017-12-05,Warriors,,Patrick McCaw,bruised nose (DTD)
9062,2017-12-05,Warriors,,Stephen Curry,sprained right ankle (DTD)
9063,2017-12-05,Wizards,,Jason Smith,knee injury (DTD)
9064,2017-12-06,Bucks,,Jason Terry,strained left calf (DTD)
9065,2017-12-06,Celtics,,Marcus Morris,left knee injury (DTD)
9066,2017-12-06,Hornets,,Steve Clifford,took leave of absense as head coach with heath issue
9067,2017-12-06,Suns,,Devin Booker,strained adductor in left groin (out indefinitely)
9068,2017-12-06,Warriors,,Patrick McCaw,concussion (DTD)
9069,2017-12-06,Warriors,Zaur Pachulia / Zaza Pachulia,,returned to lineup
9070,2017-12-07,76ers,,Dario Saric,eye injury (DTD)
9071,2017-12-07,Hornets,,Cody Zeller,torn meniscus in left knee (out indefinitely)
9072,2017-12-07,Hornets,,Frank Kaminsky,sprained right ankle (DTD)
9073,2017-12-07,Jazz,Raulzinho Neto / Raul Neto,,returned to lineup
9074,2017-12-07,Magic,,Evan Fournier,sprained right ankle (DTD)
9075,2017-12-07,Pelicans,,Alexis Ajinca,surgery on right knee (out indefinitely)
9076,2017-12-07,Rockets,,Nene Hilario,scratched cornea (DTD)
9077,2017-12-07,Jazz,,Rodney Hood,sore left ankle (DTD)
9078,2017-12-08,Blazers,,Jusuf Nurkic,sprained right ankle (DTD)
9079,2017-12-08,Bucks,,Tony Snell,patella tendinitis in left knee (DTD)
9080,2017-12-08,Celtics,Marcus Morris,,returned to lineup
9081,2017-12-08,Pelicans,,Rajon Rondo,rest (DTD)
9082,2017-12-08,Pelicans,Anthony Davis,,returned to lineup
9083,2017-12-08,Warriors,,Zaza Pachulia,sore left shoulder (DTD)
9084,2017-12-09,76ers,,T.J. McConnell,left shoulder injury (DTD)
9085,2017-12-09,76ers,Dario Saric,,returned to lineup
9086,2017-12-09,Cavaliers,,Kevin Love,sore left hip (DTD)
9087,2017-12-09,Grizzlies,,Chandler Parsons,rest (DTD)
9088,2017-12-09,Magic,,Aaron Gordon,concussion (DTD)
9089,2017-12-09,Nets,,Joe Harris,illness (DTD)
9090,2017-12-09,Nets,,Yakuba Ouattara,sore left leg (DTD)
9091,2017-12-09,Rockets,Nene Hilario,,returned to lineup
9092,2017-12-09,Spurs,,Danny Green,tightness in left groin (DTD)
9093,2017-12-09,Spurs,Joffrey Lauvergne,,returned to lineup
9094,2017-12-10,76ers,,Joel Embiid,back injury (DTD)
9095,2017-12-10,Celtics,,Marcus Morris,rehab of left knee (DTD)
9096,2017-12-10,Pacers,,Darren Collison,sore left knee (DTD)
9097,2017-12-10,Pelicans,,Jameer Nelson,left ankle injury (DTD)
9098,2017-12-10,Pelicans,Rajon Rondo,,returned to lineup
9099,2017-12-11,Bulls,,Lauri Markkanen,back spasms / sore lower back (DTD)
9100,2017-12-11,Grizzlies,Chandler Parsons,,returned to lineup
9101,2017-12-11,Jazz,,Raul Neto,concussion (DTD)
9102,2017-12-11,Pelicans,,Anthony Davis,strained adductor in left groin/pelvis (DTD)
9103,2017-12-11,Pelicans,,Dante Cunningham,right knee injury (DTD)
9104,2017-12-12,Cavaliers,,Dwyane Wade,sore left knee (DTD)
9105,2017-12-12,Cavaliers,Kevin Love,,returned to lineup
9106,2017-12-12,Nets,Joe Harris,,returned to lineup
9107,2017-12-12,Spurs,Danny Green,,returned to lineup
9108,2017-12-12,Wizards,,Ian Mahinmi,sore right knee (DTD)
9109,2017-12-12,Wizards,Jason Smith,,returned to lineup
9110,2017-12-13,Blazers,,Meyers Leonard,illness (DTD)
9111,2017-12-13,Bulls,,Lauri Markkanen,back spasms (DTD)
9112,2017-12-13,Grizzlies,,Tyreke Evans,sore right hip (DTD)
9113,2017-12-13,Heat,,Tyler Johnson,migraine headache (DTD)
9114,2017-12-13,Jazz,Rodney Hood,,returned to lineup
9115,2017-12-13,Magic,,Arron Afflalo,back spasms (DTD)
9116,2017-12-13,Pacers,Darren Collison,,returned to lineup
9117,2017-12-13,Pelicans,Anthony Davis,,returned to lineup
9118,2017-12-13,Pelicans,Dante Cunningham,,returned to lineup
9119,2017-12-13,Wizards,,Markieff Morris,sore right hip (DTD)
9120,2017-12-14,Blazers,Meyers Leonard,,returned to lineup
9121,2017-12-14,Bucks,,Mirza Teletovic,pulmonary embolism (out indefinitely)
9122,2017-12-14,Cavaliers,,Tristan Thompson,strained left calf (DTD)
9123,2017-12-14,Cavaliers,Dwyane Wade,,returned to lineup
9124,2017-12-14,Warriors,,Nick Young,concussion (DTD)
9125,2017-12-15,Cavaliers,,John Holland,left shoulder subluxation (out) indefinitely
9126,2017-12-15,Heat,,Justise Winslow,strained left knee (DTD)
9127,2017-12-15,Heat,Tyler Johnson,,returned to lineup
9128,2017-12-15,Nets,,Allen Crabbe,sore left ankle / knee (DTD)
9129,2017-12-15,Nets,,DeMarre Carroll,rest (DTD)
9130,2017-12-15,Pistons,,Avery Bradley,strained right adductor (DTD)
9131,2017-12-15,Raptors,,C.J. Miles,sore left shoulder (DTD)
9132,2017-12-15,Wizards,Ian Mahinmi,,returned to lineup
9133,2017-12-15,Wizards,Markieff Morris,,returned to lineup
9134,2017-12-15,Hornets,,Julyan Stone,hamstring injury (DTD)
9135,2017-12-16,Cavaliers,Tristan Thompson,,returned to lineup
9136,2017-12-16,Grizzlies,,Chandler Parsons,rest (DTD)
9137,2017-12-16,Jazz,,Derrick Favors,eye laceration (DTD)
9138,2017-12-16,Jazz,,Rudy Gobert,sprained left knee (DTD)
9139,2017-12-16,Magic,,Aaron Gordon,strained right calf (DTD)
9140,2017-12-16,Rockets,,Clint Capela,bruised left heel (DTD)
9141,2017-12-16,Spurs,,Danny Green,tightness in left groin (DTD)
9142,2017-12-17,76ers,,Joel Embiid,back injury (DTD)
9143,2017-12-17,76ers,,Trevor Booker,sprained left ankle (DTD)
9144,2017-12-17,Heat,,James Johnson,right ankle injury (DTD)
9145,2017-12-17,Kings,,De'Aaron Fox,bruised right quadriceps (DTD)
9146,2017-12-17,Nets,Allen Crabbe,,returned to lineup
9147,2017-12-17,Nets,DeMarre Carroll,,returned to lineup
9148,2017-12-17,Pistons,,Avery Bradley,strained right adductor (DTD)
9149,2017-12-17,Raptors,C.J. Miles,,returned to lineup
9150,2017-12-17,Warriors,,Shaun Livingston,sore right knee (DTD)
9151,2017-12-17,Warriors,Nick Young,,returned to lineup
9152,2017-12-17,Wizards,,Otto Porter,hip injury / bruised right thigh (DTD)
9153,2017-12-17,76ers,,Furkan Korkmaz,left foot injury (out indefinitely)
9154,2017-12-18,Clippers,,Lou Williams,sprained left / right foot (DTD)
9155,2017-12-18,Clippers,,Wesley Johnson,sore left foot (DTD)
9156,2017-12-18,Heat,,Goran Dragic,sore left elbow (DTD)
9157,2017-12-18,Heat,,James Johnson,bursitis in right ankle (DTD)
9158,2017-12-18,Hornets,Julyan Stone,,returned to lineup
9159,2017-12-18,Jazz,,Derrick Favors,concussion (DTD)
9160,2017-12-18,Rockets,Clint Capela,,returned to lineup
9161,2017-12-19,Bucks,Tony Snell,,returned to lineup
9162,2017-12-19,Lakers,,Brook Lopez,sprained right ankle (DTD)
9163,2017-12-20,Clippers,Lou Williams,,returned to lineup
9164,2017-12-20,Jazz,,Donovan Mitchell,bruised right big toe (DTD)
9165,2017-12-20,Mavericks,Dennis Smith,,returned to lineup
9166,2017-12-20,Rockets,,Clint Capela,bruised left heel (DTD)
9167,2017-12-20,Spurs,,Tony Parker,rest (DTD)
9168,2017-12-20,Spurs,Danny Green,,returned to lineup
9169,2017-12-21,Blazers,,Damian Lillard,strained right hamstring (DTD)
9170,2017-12-21,Cavaliers,,J.R. Smith,sore left knee (DTD)
9171,2017-12-21,Celtics,,Jaylen Brown,sore left Achilles (DTD)
9172,2017-12-21,Jazz,,Nate Wolters,sore lower back (DTD)
9173,2017-12-21,Rockets,,Chris Paul,strained left adductor (DTD)
9174,2017-12-21,Spurs,,Danny Green,tightness in left groin (DTD)
9175,2017-12-21,Spurs,,Manu Ginobili,rest (DTD)
9176,2017-12-21,Spurs,Tony Parker,,returned to lineup
9177,2017-12-22,Clippers,,Milos Teodosic,rest (DTD)
9178,2017-12-22,Hawks,,Dennis Schroder,left ankle injury (DTD)
9179,2017-12-22,Magic,,Jonathan Isaac,sore right ankle (DTD)
9180,2017-12-22,Pistons,,Avery Bradley,sore right groin (DTD)
9181,2017-12-22,Jazz,Nate Wolters,,returned to lineup
9182,2017-12-23,Celtics,Jaylen Brown,,returned to lineup
9183,2017-12-23,Clippers,Milos Teodosic,,returned to lineup
9184,2017-12-23,Hawks,Dennis Schroder,,returned to lineup
9185,2017-12-23,Heat,,Dion Waiters,sprained left ankle (DTD)
9186,2017-12-23,Heat,Goran Dragic,,returned to lineup
9187,2017-12-23,Heat,James Johnson,,returned to lineup
9188,2017-12-23,Jazz,Donovan Mitchell,,returned to lineup
9189,2017-12-23,Kings,,Vince Carter,rib injury (DTD)
9190,2017-12-23,Magic,,Nikola Vucevic,fractured left hand (out indefinitely)
9191,2017-12-23,Spurs,,Kawhi Leonard,right quadricep injury / rest (DTD)
