Rk,Player,Season,School,Pos,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
33,David Laury\david-laury-1,2014-15,Iona,F,34,33,1201,244,514,.475,217,443,.490,27,71,.380,159,233,.682,85,244,329,96,27,45,101,92,674,14.8
34,Jerrelle Benimon\jerrelle-benimon-1,2013-14,Towson,F,36,36,1307,225,425,.529,211,381,.554,14,44,.318,209,293,.713,84,320,404,130,25,44,124,104,673,15.8
35,Keita Bates-Diop\keita-bates-diop-1,2017-18,Ohio State,F,34,34,1125,247,515,.480,181,331,.547,66,184,.359,112,141,.794,52,244,296,56,31,56,61,57,672,15.7
36,Jabari Parker\jabari-parker-1,2013-14,Duke,F,35,35,1074,236,499,.473,198,393,.504,38,106,.358,160,214,.748,105,201,306,41,37,43,81,83,670,14.5
37,LaDontae Henton\ladontae-henton-1,2014-15,Providence,F,34,34,1257,230,516,.446,166,327,.508,64,189,.339,145,191,.759,60,162,222,29,46,16,68,76,669,13.3
38,Alec Peters\alec-peters-1,2016-17,Valparaiso,F,29,29,1019,218,468,.466,160,308,.519,58,160,.363,172,194,.887,74,219,293,64,23,11,71,64,666,17.7
39,Trevon Bluiett\trevon-bluiett-1,2016-17,Xavier,F,36,35,1262,212,483,.439,121,239,.506,91,244,.373,149,198,.753,26,178,204,74,32,4,78,86,664,12.1
40,Semi Ojeleye\semi-ojeleye-1,2016-17,Southern Methodist,F,35,35,1195,209,428,.488,136,256,.531,73,172,.424,172,219,.785,79,160,239,53,15,14,50,62,663,14.8
41,James Kelly\james-kelly-1,2015-16,Marshall,F,33,33,1009,260,479,.543,211,320,.659,49,159,.308,94,126,.746,61,263,324,38,44,36,77,94,663,15.8
42,Peyton Aldridge\peyton-aldridge-1,2016-17,Davidson,F,32,32,1180,233,471,.495,163,300,.543,70,171,.409,120,144,.833,54,209,263,70,28,28,53,65,656,16.5
